日期,全部,pc,移动
2019-12-01,67,,67
2019-12-02,58,,58
2019-12-03,58,,58
2019-12-04,58,,58
2019-12-05,122,57,65
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,114,57,57
2019-12-10,118,57,61
2019-12-11,61,61,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,57,,57
2019-12-16,60,,60
2019-12-17,58,,58
2019-12-18,61,,61
2019-12-19,57,57,
2019-12-20,,,
2019-12-21,63,,63
2019-12-22,61,,61
2019-12-23,58,,58
2019-12-24,61,,61
2019-12-25,60,,60
2019-12-26,58,,58
2019-12-27,58,,58
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,65,,65
2020-01-01,60,,60
2020-01-02,57,,57
2020-01-03,60,,60
2020-01-04,115,57,58
2020-01-05,57,,57
2020-01-06,58,,58
2020-01-07,57,,57
2020-01-08,60,,60
2020-01-09,57,,57
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,58,,58
2020-01-16,57,57,
2020-01-17,57,,57
2020-01-18,118,57,61
2020-01-19,,,
2020-01-20,177,78,99
2020-01-21,499,139,360
2020-01-22,824,180,644
2020-01-23,1129,260,869
2020-01-24,865,188,677
2020-01-25,668,168,500
2020-01-26,665,176,489
2020-01-27,565,161,404
2020-01-28,554,150,404
2020-01-29,557,152,405
2020-01-30,561,155,406
2020-01-31,542,161,381
2020-02-01,491,161,330
2020-02-02,549,161,388
2020-02-03,549,173,376
2020-02-04,461,137,324
2020-02-05,418,131,287
2020-02-06,503,159,344
2020-02-07,483,163,320
2020-02-08,440,151,289
2020-02-09,426,148,278
2020-02-10,458,137,321
2020-02-11,445,137,308
2020-02-12,430,127,303
2020-02-13,421,140,281
2020-02-14,431,139,292
2020-02-15,384,129,255
2020-02-16,415,137,278
2020-02-17,447,151,296
2020-02-18,423,135,288
2020-02-19,486,165,321
2020-02-20,500,148,352
2020-02-21,466,150,316
2020-02-22,474,151,323
2020-02-23,465,144,321
2020-02-24,432,155,277
2020-02-25,409,150,259
2020-02-26,459,157,302
2020-02-27,423,177,246
2020-02-28,461,184,277
2020-02-29,435,165,270
2020-03-01,393,123,270
2020-03-02,364,152,212
2020-03-03,367,135,232
2020-03-04,369,144,225
2020-03-05,326,133,193
2020-03-06,330,129,201
2020-03-07,312,108,204
2020-03-08,269,99,170
2020-03-09,303,104,199
2020-03-10,314,118,196
2020-03-11,291,112,179
2020-03-12,321,151,170
2020-03-13,286,110,176
2020-03-14,253,101,152
2020-03-15,231,80,151
2020-03-16,267,112,155
2020-03-17,305,148,157
2020-03-18,305,125,180
2020-03-19,257,97,160
2020-03-20,266,125,141
2020-03-21,214,83,131
2020-03-22,192,61,131
2020-03-23,266,118,148
2020-03-24,196,83,113
2020-03-25,234,99,135
2020-03-26,221,95,126
2020-03-27,200,83,117
2020-03-28,218,82,136
2020-03-29,257,87,170
2020-03-30,288,123,165
2020-03-31,250,118,132
2020-04-01,236,118,118
