日期,全部,pc,移动
2019-12-01,114,57,57
2019-12-02,63,,63
2019-12-03,116,59,57
2019-12-04,,,
2019-12-05,61,,61
2019-12-06,,,
2019-12-07,57,57,
2019-12-08,57,57,
2019-12-09,117,57,60
2019-12-10,126,61,65
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,58,,58
2019-12-14,119,59,60
2019-12-15,58,,58
2019-12-16,57,,57
2019-12-17,117,59,58
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,114,57,57
2019-12-23,58,,58
2019-12-24,61,,61
2019-12-25,,,
2019-12-26,60,,60
2019-12-27,,,
2019-12-28,61,,61
2019-12-29,61,,61
2019-12-30,117,59,58
2019-12-31,58,,58
2020-01-01,57,,57
2020-01-02,115,57,58
2020-01-03,117,57,60
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,59,59,
2020-01-08,114,57,57
2020-01-09,57,,57
2020-01-10,117,59,58
2020-01-11,58,,58
2020-01-12,58,,58
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,57,
2020-01-17,57,,57
2020-01-18,60,,60
2020-01-19,58,,58
2020-01-20,190,72,118
2020-01-21,487,168,319
2020-01-22,810,212,598
2020-01-23,1054,211,843
2020-01-24,739,182,557
2020-01-25,742,150,592
2020-01-26,693,176,517
2020-01-27,649,166,483
2020-01-28,543,157,386
2020-01-29,518,152,366
2020-01-30,480,142,338
2020-01-31,507,158,349
2020-02-01,507,152,355
2020-02-02,495,155,340
2020-02-03,490,142,348
2020-02-04,521,183,338
2020-02-05,522,169,353
2020-02-06,551,165,386
2020-02-07,539,180,359
2020-02-08,509,168,341
2020-02-09,428,139,289
2020-02-10,399,112,287
2020-02-11,455,161,294
2020-02-12,400,133,267
2020-02-13,391,135,256
2020-02-14,397,151,246
2020-02-15,386,133,253
2020-02-16,343,116,227
2020-02-17,317,120,197
2020-02-18,322,129,193
2020-02-19,294,97,197
2020-02-20,316,123,193
2020-02-21,290,112,178
2020-02-22,329,118,211
2020-02-23,369,120,249
2020-02-24,292,118,174
2020-02-25,303,110,193
2020-02-26,373,154,219
2020-02-27,312,110,202
2020-02-28,317,135,182
2020-02-29,309,116,193
2020-03-01,327,131,196
2020-03-02,295,110,185
2020-03-03,293,106,187
2020-03-04,320,144,176
2020-03-05,261,102,159
2020-03-06,284,123,161
2020-03-07,248,89,159
2020-03-08,246,95,151
2020-03-09,307,137,170
2020-03-10,304,133,171
2020-03-11,222,83,139
2020-03-12,256,99,157
2020-03-13,274,116,158
2020-03-14,244,93,151
2020-03-15,215,93,122
2020-03-16,271,123,148
2020-03-17,235,99,136
2020-03-18,265,120,145
2020-03-19,273,112,161
2020-03-20,289,127,162
2020-03-21,206,78,128
2020-03-22,188,57,131
2020-03-23,246,121,125
2020-03-24,186,87,99
2020-03-25,261,95,166
2020-03-26,269,112,157
2020-03-27,216,99,117
2020-03-28,215,80,135
2020-03-29,246,89,157
2020-03-30,267,116,151
2020-03-31,214,82,132
2020-04-01,218,95,123
