日期,全部,pc,移动
2019-12-01,159,59,100
2019-12-02,159,66,93
2019-12-03,140,61,79
2019-12-04,146,59,87
2019-12-05,162,57,105
2019-12-06,147,63,84
2019-12-07,149,66,83
2019-12-08,155,63,92
2019-12-09,157,66,91
2019-12-10,157,66,91
2019-12-11,150,66,84
2019-12-12,150,70,80
2019-12-13,93,,93
2019-12-14,145,59,86
2019-12-15,142,59,83
2019-12-16,176,63,113
2019-12-17,178,72,106
2019-12-18,148,66,82
2019-12-19,163,63,100
2019-12-20,152,59,93
2019-12-21,80,,80
2019-12-22,148,59,89
2019-12-23,165,72,93
2019-12-24,152,66,86
2019-12-25,146,64,82
2019-12-26,162,63,99
2019-12-27,152,63,89
2019-12-28,157,61,96
2019-12-29,155,59,96
2019-12-30,154,61,93
2019-12-31,168,72,96
2020-01-01,140,57,83
2020-01-02,155,64,91
2020-01-03,147,63,84
2020-01-04,141,57,84
2020-01-05,82,,82
2020-01-06,157,70,87
2020-01-07,139,63,76
2020-01-08,153,66,87
2020-01-09,166,66,100
2020-01-10,148,68,80
2020-01-11,146,63,83
2020-01-12,84,,84
2020-01-13,150,63,87
2020-01-14,152,59,93
2020-01-15,139,63,76
2020-01-16,133,70,63
2020-01-17,139,66,73
2020-01-18,154,57,97
2020-01-19,269,125,144
2020-01-20,1362,580,782
2020-01-21,3042,891,2151
2020-01-22,4544,849,3695
2020-01-23,5679,647,5032
2020-01-24,2842,327,2515
2020-01-25,2554,307,2247
2020-01-26,2534,324,2210
2020-01-27,2110,293,1817
2020-01-28,1993,349,1644
2020-01-29,1818,346,1472
2020-01-30,1867,394,1473
2020-01-31,1854,436,1418
2020-02-01,1814,447,1367
2020-02-02,1722,448,1274
2020-02-03,1742,496,1246
2020-02-04,1560,462,1098
2020-02-05,1526,426,1100
2020-02-06,1666,509,1157
2020-02-07,1586,502,1084
2020-02-08,1524,430,1094
2020-02-09,1290,336,954
2020-02-10,1578,569,1009
2020-02-11,1466,482,984
2020-02-12,1425,464,961
2020-02-13,1507,512,995
2020-02-14,1406,416,990
2020-02-15,1309,367,942
2020-02-16,1249,335,914
2020-02-17,1430,490,940
2020-02-18,1425,493,932
2020-02-19,1420,462,958
2020-02-20,1475,509,966
2020-02-21,1553,574,979
2020-02-22,1325,358,967
2020-02-23,1267,319,948
2020-02-24,1625,620,1005
2020-02-25,1584,608,976
2020-02-26,1717,727,990
2020-02-27,1634,658,976
2020-02-28,1607,633,974
2020-02-29,1353,394,959
2020-03-01,1263,349,914
2020-03-02,1651,732,919
2020-03-03,1397,465,932
2020-03-04,1492,585,907
2020-03-05,1426,537,889
2020-03-06,1362,488,874
2020-03-07,1172,309,863
2020-03-08,1140,288,852
2020-03-09,1345,471,874
2020-03-10,1419,551,868
2020-03-11,1294,433,861
2020-03-12,1332,478,854
2020-03-13,1249,428,821
2020-03-14,1082,278,804
2020-03-15,973,194,779
2020-03-16,1171,417,754
2020-03-17,1269,471,798
2020-03-18,1218,445,773
2020-03-19,1037,299,738
2020-03-20,1057,380,677
2020-03-21,866,162,704
2020-03-22,820,104,716
2020-03-23,979,315,664
2020-03-24,903,248,655
2020-03-25,928,290,638
2020-03-26,961,291,670
2020-03-27,893,265,628
2020-03-28,783,144,639
2020-03-29,811,198,613
2020-03-30,1006,323,683
2020-03-31,983,274,709
2020-04-01,936,245,691
