日期,全部,pc,移动
2019-12-01,124,57,67
2019-12-02,57,,57
2019-12-03,61,,61
2019-12-04,119,61,58
2019-12-05,125,64,61
2019-12-06,118,61,57
2019-12-07,63,,63
2019-12-08,120,57,63
2019-12-09,123,63,60
2019-12-10,120,59,61
2019-12-11,57,,57
2019-12-12,114,57,57
2019-12-13,58,,58
2019-12-14,116,59,57
2019-12-15,57,,57
2019-12-16,117,57,60
2019-12-17,117,57,60
2019-12-18,117,59,58
2019-12-19,60,,60
2019-12-20,114,57,57
2019-12-21,61,,61
2019-12-22,58,,58
2019-12-23,117,57,60
2019-12-24,116,59,57
2019-12-25,,,
2019-12-26,115,57,58
2019-12-27,57,,57
2019-12-28,63,,63
2019-12-29,122,61,61
2019-12-30,65,,65
2019-12-31,60,,60
2020-01-01,65,,65
2020-01-02,115,57,58
2020-01-03,119,61,58
2020-01-04,61,,61
2020-01-05,118,57,61
2020-01-06,128,63,65
2020-01-07,60,,60
2020-01-08,117,59,58
2020-01-09,120,59,61
2020-01-10,115,57,58
2020-01-11,119,59,60
2020-01-12,58,,58
2020-01-13,60,,60
2020-01-14,,,
2020-01-15,58,,58
2020-01-16,57,57,
2020-01-17,59,59,
2020-01-18,117,57,60
2020-01-19,122,59,63
2020-01-20,223,106,117
2020-01-21,808,236,572
2020-01-22,1339,434,905
2020-01-23,1674,482,1192
2020-01-24,1209,329,880
2020-01-25,1177,301,876
2020-01-26,1157,301,856
2020-01-27,1047,267,780
2020-01-28,1093,251,842
2020-01-29,1034,278,756
2020-01-30,944,248,696
2020-01-31,883,270,613
2020-02-01,923,293,630
2020-02-02,815,254,561
2020-02-03,757,229,528
2020-02-04,660,212,448
2020-02-05,636,193,443
2020-02-06,634,208,426
2020-02-07,680,222,458
2020-02-08,611,213,398
2020-02-09,499,172,327
2020-02-10,638,205,433
2020-02-11,596,191,405
2020-02-12,626,220,406
2020-02-13,758,234,524
2020-02-14,654,204,450
2020-02-15,669,211,458
2020-02-16,599,186,413
2020-02-17,610,213,397
2020-02-18,640,220,420
2020-02-19,668,200,468
2020-02-20,768,239,529
2020-02-21,814,270,544
2020-02-22,762,213,549
2020-02-23,811,223,588
2020-02-24,829,257,572
2020-02-25,821,295,526
2020-02-26,852,285,567
2020-02-27,753,278,475
2020-02-28,652,234,418
2020-02-29,621,222,399
2020-03-01,673,279,394
2020-03-02,678,285,393
2020-03-03,485,187,298
2020-03-04,549,216,333
2020-03-05,485,183,302
2020-03-06,548,225,323
2020-03-07,446,190,256
2020-03-08,421,154,267
2020-03-09,465,205,260
2020-03-10,511,234,277
2020-03-11,418,180,238
2020-03-12,475,198,277
2020-03-13,451,180,271
2020-03-14,395,159,236
2020-03-15,381,133,248
2020-03-16,418,194,224
2020-03-17,406,191,215
2020-03-18,442,231,211
2020-03-19,362,157,205
2020-03-20,514,195,319
2020-03-21,399,146,253
2020-03-22,351,74,277
2020-03-23,408,211,197
2020-03-24,350,135,215
2020-03-25,388,186,202
2020-03-26,352,151,201
2020-03-27,337,137,200
2020-03-28,333,125,208
2020-03-29,354,129,225
2020-03-30,430,191,239
2020-03-31,383,159,224
2020-04-01,376,151,225
