日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,57,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,114,57,57
2019-12-09,,,
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,57,,57
2019-12-15,57,,57
2019-12-16,114,57,57
2019-12-17,114,57,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,57,
2019-12-24,57,57,
2019-12-25,,,
2019-12-26,57,57,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,58,,58
2020-01-01,57,,57
2020-01-02,63,,63
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,59,59,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,58,,58
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,139,66,73
2020-01-21,306,116,190
2020-01-22,495,144,351
2020-01-23,609,144,465
2020-01-24,400,108,292
2020-01-25,399,83,316
2020-01-26,436,131,305
2020-01-27,403,114,289
2020-01-28,334,114,220
2020-01-29,297,82,215
2020-01-30,301,93,208
2020-01-31,287,95,192
2020-02-01,310,104,206
2020-02-02,288,106,182
2020-02-03,261,97,164
2020-02-04,286,108,178
2020-02-05,240,89,151
2020-02-06,276,99,177
2020-02-07,264,93,171
2020-02-08,275,93,182
2020-02-09,242,83,159
2020-02-10,239,91,148
2020-02-11,220,82,138
2020-02-12,214,83,131
2020-02-13,257,97,160
2020-02-14,244,89,155
2020-02-15,225,82,143
2020-02-16,237,89,148
2020-02-17,223,82,141
2020-02-18,211,89,122
2020-02-19,234,89,145
2020-02-20,218,80,138
2020-02-21,263,114,149
2020-02-22,250,85,165
2020-02-23,211,72,139
2020-02-24,225,80,145
2020-02-25,261,87,174
2020-02-26,266,85,181
2020-02-27,238,93,145
2020-02-28,248,97,151
2020-02-29,247,82,165
2020-03-01,239,82,157
2020-03-02,242,101,141
2020-03-03,240,99,141
2020-03-04,248,116,132
2020-03-05,241,110,131
2020-03-06,222,87,135
2020-03-07,200,70,130
2020-03-08,176,66,110
2020-03-09,199,89,110
2020-03-10,172,66,106
2020-03-11,187,91,96
2020-03-12,189,93,96
2020-03-13,176,83,93
2020-03-14,165,66,99
2020-03-15,157,57,100
2020-03-16,184,76,108
2020-03-17,176,85,91
2020-03-18,173,82,91
2020-03-19,155,66,89
2020-03-20,158,72,86
2020-03-21,143,64,79
2020-03-22,144,61,83
2020-03-23,150,70,80
2020-03-24,144,61,83
2020-03-25,158,76,82
2020-03-26,134,61,73
2020-03-27,150,68,82
2020-03-28,152,63,89
2020-03-29,161,70,91
2020-03-30,155,76,79
2020-03-31,140,66,74
2020-04-01,140,70,70
