日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,58,,58
2019-12-03,,,
2019-12-04,115,57,58
2019-12-05,,,
2019-12-06,,,
2019-12-07,117,59,58
2019-12-08,120,57,63
2019-12-09,116,59,57
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,58,,58
2019-12-13,114,57,57
2019-12-14,58,,58
2019-12-15,57,,57
2019-12-16,58,,58
2019-12-17,63,,63
2019-12-18,120,57,63
2019-12-19,63,,63
2019-12-20,58,,58
2019-12-21,58,,58
2019-12-22,117,59,58
2019-12-23,57,57,
2019-12-24,120,57,63
2019-12-25,,,
2019-12-26,114,57,57
2019-12-27,118,57,61
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,60,,60
2020-01-02,58,,58
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,115,57,58
2020-01-07,,,
2020-01-08,60,,60
2020-01-09,115,57,58
2020-01-10,57,57,
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,57,57,
2020-01-15,,,
2020-01-16,58,,58
2020-01-17,57,,57
2020-01-18,114,57,57
2020-01-19,65,,65
2020-01-20,171,76,95
2020-01-21,471,144,327
2020-01-22,778,179,599
2020-01-23,1094,215,879
2020-01-24,744,152,592
2020-01-25,649,120,529
2020-01-26,710,159,551
2020-01-27,665,176,489
2020-01-28,555,146,409
2020-01-29,570,150,420
2020-01-30,722,172,550
2020-01-31,624,183,441
2020-02-01,517,162,355
2020-02-02,563,179,384
2020-02-03,586,186,400
2020-02-04,564,187,377
2020-02-05,504,177,327
2020-02-06,591,179,412
2020-02-07,547,154,393
2020-02-08,525,159,366
2020-02-09,529,177,352
2020-02-10,509,183,326
2020-02-11,586,173,413
2020-02-12,514,169,345
2020-02-13,457,140,317
2020-02-14,490,173,317
2020-02-15,452,157,295
2020-02-16,429,162,267
2020-02-17,441,168,273
2020-02-18,399,146,253
2020-02-19,418,162,256
2020-02-20,360,140,220
2020-02-21,402,154,248
2020-02-22,385,133,252
2020-02-23,392,114,278
2020-02-24,426,173,253
2020-02-25,401,163,238
2020-02-26,419,144,275
2020-02-27,413,168,245
2020-02-28,425,165,260
2020-02-29,377,146,231
2020-03-01,369,108,261
2020-03-02,374,163,211
2020-03-03,341,133,208
2020-03-04,365,157,208
2020-03-05,331,151,180
2020-03-06,281,121,160
2020-03-07,273,97,176
2020-03-08,287,102,185
2020-03-09,319,135,184
2020-03-10,315,114,201
2020-03-11,294,133,161
2020-03-12,318,148,170
2020-03-13,287,116,171
2020-03-14,256,101,155
2020-03-15,245,87,158
2020-03-16,266,118,148
2020-03-17,293,142,151
2020-03-18,283,139,144
2020-03-19,254,99,155
2020-03-20,240,108,132
2020-03-21,253,95,158
2020-03-22,242,64,178
2020-03-23,239,120,119
2020-03-24,226,108,118
2020-03-25,218,95,123
2020-03-26,222,91,131
2020-03-27,215,89,126
2020-03-28,196,78,118
2020-03-29,215,85,130
2020-03-30,205,87,118
2020-03-31,231,97,134
2020-04-01,209,101,108
