日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,61,61,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,57,
2019-12-07,58,,58
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,,,
2019-12-20,58,,58
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,,,
2019-12-28,58,,58
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,57,
2020-01-01,,,
2020-01-02,57,57,
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,57,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,136,66,70
2020-01-21,204,78,126
2020-01-22,402,125,277
2020-01-23,545,133,412
2020-01-24,316,102,214
2020-01-25,331,82,249
2020-01-26,372,87,285
2020-01-27,311,87,224
2020-01-28,286,85,201
2020-01-29,312,104,208
2020-01-30,275,76,199
2020-01-31,294,108,186
2020-02-01,280,85,195
2020-02-02,258,85,173
2020-02-03,258,95,163
2020-02-04,263,95,168
2020-02-05,253,83,170
2020-02-06,282,95,187
2020-02-07,267,85,182
2020-02-08,243,78,165
2020-02-09,235,80,155
2020-02-10,297,108,189
2020-02-11,279,114,165
2020-02-12,253,89,164
2020-02-13,267,102,165
2020-02-14,247,82,165
2020-02-15,225,82,143
2020-02-16,215,74,141
2020-02-17,214,82,132
2020-02-18,187,78,109
2020-02-19,204,76,128
2020-02-20,182,64,118
2020-02-21,208,74,134
2020-02-22,221,85,136
2020-02-23,193,61,132
2020-02-24,191,72,119
2020-02-25,201,76,125
2020-02-26,210,89,121
2020-02-27,178,66,112
2020-02-28,225,87,138
2020-02-29,195,72,123
2020-03-01,212,82,130
2020-03-02,172,72,100
2020-03-03,159,63,96
2020-03-04,165,68,97
2020-03-05,183,70,113
2020-03-06,160,74,86
2020-03-07,173,76,97
2020-03-08,157,61,96
2020-03-09,157,68,89
2020-03-10,152,74,78
2020-03-11,160,80,80
2020-03-12,181,85,96
2020-03-13,159,76,83
2020-03-14,149,70,79
2020-03-15,152,61,91
2020-03-16,155,72,83
2020-03-17,144,74,70
2020-03-18,152,74,78
2020-03-19,138,64,74
2020-03-20,157,74,83
2020-03-21,148,61,87
2020-03-22,139,57,82
2020-03-23,128,63,65
2020-03-24,132,61,71
2020-03-25,145,61,84
2020-03-26,140,66,74
2020-03-27,126,61,65
2020-03-28,122,57,65
2020-03-29,158,66,92
2020-03-30,137,63,74
2020-03-31,131,61,70
2020-04-01,130,59,71
