日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,57,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,58,,58
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,59,59,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,57,57,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,125,59,66
2020-01-21,197,80,117
2020-01-22,340,83,257
2020-01-23,369,80,289
2020-01-24,281,83,198
2020-01-25,306,87,219
2020-01-26,272,70,202
2020-01-27,279,78,201
2020-01-28,289,78,211
2020-01-29,270,72,198
2020-01-30,256,76,180
2020-01-31,247,70,177
2020-02-01,219,68,151
2020-02-02,200,70,130
2020-02-03,208,70,138
2020-02-04,214,70,144
2020-02-05,221,72,149
2020-02-06,212,68,144
2020-02-07,242,78,164
2020-02-08,226,74,152
2020-02-09,186,61,125
2020-02-10,191,66,125
2020-02-11,179,66,113
2020-02-12,170,70,100
2020-02-13,188,66,122
2020-02-14,190,64,126
2020-02-15,180,57,123
2020-02-16,172,66,106
2020-02-17,176,70,106
2020-02-18,176,61,115
2020-02-19,181,66,115
2020-02-20,149,66,83
2020-02-21,141,57,84
2020-02-22,150,61,89
2020-02-23,153,64,89
2020-02-24,160,63,97
2020-02-25,157,64,93
2020-02-26,150,61,89
2020-02-27,167,61,106
2020-02-28,130,63,67
2020-02-29,137,63,74
2020-03-01,145,59,86
2020-03-02,167,70,97
2020-03-03,144,61,83
2020-03-04,147,63,84
2020-03-05,142,63,79
2020-03-06,141,59,82
2020-03-07,135,59,76
2020-03-08,80,,80
2020-03-09,131,61,70
2020-03-10,133,59,74
2020-03-11,80,,80
2020-03-12,71,,71
2020-03-13,131,57,74
2020-03-14,188,70,118
2020-03-15,187,61,126
2020-03-16,150,63,87
2020-03-17,78,,78
2020-03-18,133,66,67
2020-03-19,143,57,86
2020-03-20,130,59,71
2020-03-21,69,,69
2020-03-22,67,,67
2020-03-23,80,,80
2020-03-24,74,,74
2020-03-25,134,63,71
2020-03-26,122,61,61
2020-03-27,65,,65
2020-03-28,67,,67
2020-03-29,132,61,71
2020-03-30,129,63,66
2020-03-31,128,61,67
2020-04-01,120,57,63
