日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,120,57,63
2020-01-22,129,59,70
2020-01-23,143,61,82
2020-01-24,135,57,78
2020-01-25,124,57,67
2020-01-26,126,57,69
2020-01-27,70,,70
2020-01-28,135,61,74
2020-01-29,58,,58
2020-01-30,120,57,63
2020-01-31,63,,63
2020-02-01,127,57,70
2020-02-02,130,57,73
2020-02-03,66,,66
2020-02-04,120,57,63
2020-02-05,67,,67
2020-02-06,126,59,67
2020-02-07,122,59,63
2020-02-08,122,59,63
2020-02-09,120,57,63
2020-02-10,65,,65
2020-02-11,65,,65
2020-02-12,58,,58
2020-02-13,60,,60
2020-02-14,60,,60
2020-02-15,,,
2020-02-16,58,,58
2020-02-17,58,,58
2020-02-18,57,,57
2020-02-19,118,57,61
2020-02-20,61,,61
2020-02-21,114,57,57
2020-02-22,120,57,63
2020-02-23,117,59,58
2020-02-24,114,57,57
2020-02-25,60,,60
2020-02-26,119,59,60
2020-02-27,115,57,58
2020-02-28,58,,58
2020-02-29,115,57,58
2020-03-01,57,,57
2020-03-02,57,57,
2020-03-03,58,,58
2020-03-04,,,
2020-03-05,114,57,57
2020-03-06,57,57,
2020-03-07,,,
2020-03-08,61,61,
2020-03-09,,,
2020-03-10,61,,61
2020-03-11,58,,58
2020-03-12,120,63,57
2020-03-13,57,57,
2020-03-14,114,57,57
2020-03-15,60,,60
2020-03-16,,,
2020-03-17,,,
2020-03-18,115,57,58
2020-03-19,118,57,61
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,57,,57
2020-03-29,,,
2020-03-30,,,
2020-03-31,58,,58
2020-04-01,,,
