日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,59,59,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,57,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,57,
2020-01-21,114,57,57
2020-01-22,163,63,100
2020-01-23,164,59,105
2020-01-24,78,,78
2020-01-25,165,59,106
2020-01-26,150,61,89
2020-01-27,141,59,82
2020-01-28,139,61,78
2020-01-29,147,63,84
2020-01-30,131,61,70
2020-01-31,124,59,65
2020-02-01,133,57,76
2020-02-02,133,59,74
2020-02-03,139,68,71
2020-02-04,136,63,73
2020-02-05,135,59,76
2020-02-06,79,,79
2020-02-07,153,64,89
2020-02-08,131,57,74
2020-02-09,152,61,91
2020-02-10,70,,70
2020-02-11,135,57,78
2020-02-12,126,59,67
2020-02-13,142,59,83
2020-02-14,143,61,82
2020-02-15,126,57,69
2020-02-16,132,61,71
2020-02-17,120,57,63
2020-02-18,133,59,74
2020-02-19,63,,63
2020-02-20,79,,79
2020-02-21,128,61,67
2020-02-22,66,,66
2020-02-23,131,57,74
2020-02-24,67,,67
2020-02-25,65,,65
2020-02-26,60,,60
2020-02-27,61,,61
2020-02-28,122,57,65
2020-02-29,128,61,67
2020-03-01,126,57,69
2020-03-02,70,,70
2020-03-03,125,59,66
2020-03-04,60,,60
2020-03-05,57,57,
2020-03-06,65,,65
2020-03-07,65,,65
2020-03-08,60,,60
2020-03-09,125,59,66
2020-03-10,117,57,60
2020-03-11,115,57,58
2020-03-12,125,59,66
2020-03-13,115,57,58
2020-03-14,60,,60
2020-03-15,60,,60
2020-03-16,57,,57
2020-03-17,59,59,
2020-03-18,,,
2020-03-19,58,,58
2020-03-20,114,57,57
2020-03-21,,,
2020-03-22,58,,58
2020-03-23,114,57,57
2020-03-24,,,
2020-03-25,117,57,60
2020-03-26,,,
2020-03-27,58,,58
2020-03-28,,,
2020-03-29,,,
2020-03-30,58,,58
2020-03-31,57,57,
2020-04-01,115,57,58
