日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,61,,61
2019-12-03,58,,58
2019-12-04,,,
2019-12-05,65,,65
2019-12-06,59,59,
2019-12-07,57,57,
2019-12-08,,,
2019-12-09,60,,60
2019-12-10,57,,57
2019-12-11,57,,57
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,61,,61
2019-12-16,57,57,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,61,,61
2019-12-20,60,,60
2019-12-21,58,,58
2019-12-22,63,,63
2019-12-23,,,
2019-12-24,58,,58
2019-12-25,61,,61
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,58,,58
2019-12-30,114,57,57
2019-12-31,,,
2020-01-01,60,,60
2020-01-02,58,,58
2020-01-03,57,57,
2020-01-04,,,
2020-01-05,58,,58
2020-01-06,,,
2020-01-07,60,,60
2020-01-08,58,,58
2020-01-09,,,
2020-01-10,60,,60
2020-01-11,117,57,60
2020-01-12,57,,57
2020-01-13,61,,61
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,57,,57
2020-01-19,65,,65
2020-01-20,165,66,99
2020-01-21,521,108,413
2020-01-22,995,135,860
2020-01-23,1085,155,930
2020-01-24,753,97,656
2020-01-25,878,102,776
2020-01-26,780,104,676
2020-01-27,616,95,521
2020-01-28,637,120,517
2020-01-29,614,110,504
2020-01-30,528,91,437
2020-01-31,517,116,401
2020-02-01,551,118,433
2020-02-02,588,129,459
2020-02-03,531,127,404
2020-02-04,506,116,390
2020-02-05,547,142,405
2020-02-06,589,137,452
2020-02-07,509,102,407
2020-02-08,536,114,422
2020-02-09,489,120,369
2020-02-10,443,106,337
2020-02-11,469,129,340
2020-02-12,398,110,288
2020-02-13,377,104,273
2020-02-14,412,97,315
2020-02-15,354,87,267
2020-02-16,322,80,242
2020-02-17,320,91,229
2020-02-18,499,108,391
2020-02-19,361,91,270
2020-02-20,408,108,300
2020-02-21,381,97,284
2020-02-22,290,78,212
2020-02-23,260,78,182
2020-02-24,327,89,238
2020-02-25,302,82,220
2020-02-26,354,104,250
2020-02-27,334,91,243
2020-02-28,325,82,243
2020-02-29,343,91,252
2020-03-01,298,74,224
2020-03-02,304,89,215
2020-03-03,334,91,243
2020-03-04,302,91,211
2020-03-05,299,95,204
2020-03-06,273,78,195
2020-03-07,267,74,193
2020-03-08,251,74,177
2020-03-09,285,83,202
2020-03-10,271,87,184
2020-03-11,248,78,170
2020-03-12,256,85,171
2020-03-13,244,74,170
2020-03-14,254,68,186
2020-03-15,241,61,180
2020-03-16,247,80,167
2020-03-17,257,87,170
2020-03-18,234,87,147
2020-03-19,251,87,164
2020-03-20,242,91,151
2020-03-21,195,57,138
2020-03-22,189,61,128
2020-03-23,185,72,113
2020-03-24,201,63,138
2020-03-25,174,61,113
2020-03-26,183,70,113
2020-03-27,190,68,122
2020-03-28,168,64,104
2020-03-29,189,61,128
2020-03-30,214,82,132
2020-03-31,166,61,105
2020-04-01,201,70,131
