日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,57,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,65,,65
2020-01-21,137,59,78
2020-01-22,198,59,139
2020-01-23,222,64,158
2020-01-24,179,57,122
2020-01-25,178,59,119
2020-01-26,173,63,110
2020-01-27,150,61,89
2020-01-28,153,57,96
2020-01-29,153,57,96
2020-01-30,143,59,84
2020-01-31,141,59,82
2020-02-01,158,59,99
2020-02-02,135,59,76
2020-02-03,149,66,83
2020-02-04,132,59,73
2020-02-05,143,63,80
2020-02-06,139,59,80
2020-02-07,141,59,82
2020-02-08,152,63,89
2020-02-09,142,59,83
2020-02-10,83,,83
2020-02-11,73,,73
2020-02-12,71,,71
2020-02-13,150,64,86
2020-02-14,134,61,73
2020-02-15,79,,79
2020-02-16,137,61,76
2020-02-17,132,59,73
2020-02-18,135,61,74
2020-02-19,137,57,80
2020-02-20,76,,76
2020-02-21,128,59,69
2020-02-22,126,57,69
2020-02-23,66,,66
2020-02-24,123,57,66
2020-02-25,125,59,66
2020-02-26,76,,76
2020-02-27,71,,71
2020-02-28,123,57,66
2020-02-29,126,59,67
2020-03-01,124,57,67
2020-03-02,128,59,69
2020-03-03,137,59,78
2020-03-04,63,,63
2020-03-05,65,,65
2020-03-06,123,57,66
2020-03-07,124,59,65
2020-03-08,120,59,61
2020-03-09,69,,69
2020-03-10,89,,89
2020-03-11,80,,80
2020-03-12,137,57,80
2020-03-13,67,,67
2020-03-14,63,,63
2020-03-15,122,61,61
2020-03-16,63,,63
2020-03-17,63,,63
2020-03-18,61,,61
2020-03-19,58,,58
2020-03-20,58,,58
2020-03-21,65,,65
2020-03-22,60,,60
2020-03-23,63,,63
2020-03-24,117,57,60
2020-03-25,117,57,60
2020-03-26,,,
2020-03-27,57,,57
2020-03-28,57,,57
2020-03-29,60,,60
2020-03-30,115,57,58
2020-03-31,61,,61
2020-04-01,118,57,61
