日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,57,
2020-01-21,69,,69
2020-01-22,157,57,100
2020-01-23,161,61,100
2020-01-24,158,59,99
2020-01-25,153,57,96
2020-01-26,170,61,109
2020-01-27,161,66,95
2020-01-28,96,,96
2020-01-29,150,63,87
2020-01-30,157,61,96
2020-01-31,96,,96
2020-02-01,147,61,86
2020-02-02,145,63,82
2020-02-03,132,61,71
2020-02-04,134,63,71
2020-02-05,148,61,87
2020-02-06,149,63,86
2020-02-07,156,63,93
2020-02-08,136,63,73
2020-02-09,152,57,95
2020-02-10,153,70,83
2020-02-11,126,57,69
2020-02-12,132,59,73
2020-02-13,74,,74
2020-02-14,128,57,71
2020-02-15,136,57,79
2020-02-16,67,,67
2020-02-17,130,61,69
2020-02-18,69,,69
2020-02-19,133,57,76
2020-02-20,61,,61
2020-02-21,122,57,65
2020-02-22,124,59,65
2020-02-23,69,,69
2020-02-24,121,61,60
2020-02-25,71,,71
2020-02-26,128,59,69
2020-02-27,69,,69
2020-02-28,137,57,80
2020-02-29,128,59,69
2020-03-01,69,,69
2020-03-02,122,57,65
2020-03-03,60,,60
2020-03-04,78,,78
2020-03-05,67,,67
2020-03-06,114,57,57
2020-03-07,123,57,66
2020-03-08,61,,61
2020-03-09,114,57,57
2020-03-10,117,57,60
2020-03-11,124,59,65
2020-03-12,124,57,67
2020-03-13,118,57,61
2020-03-14,58,,58
2020-03-15,,,
2020-03-16,58,,58
2020-03-17,117,59,58
2020-03-18,57,,57
2020-03-19,119,61,58
2020-03-20,63,,63
2020-03-21,58,,58
2020-03-22,57,57,
2020-03-23,63,,63
2020-03-24,57,,57
2020-03-25,57,,57
2020-03-26,57,,57
2020-03-27,57,57,
2020-03-28,,,
2020-03-29,,,
2020-03-30,119,59,60
2020-03-31,57,,57
2020-04-01,114,57,57
