日期,全部,pc,移动
2019-12-01,145,59,86
2019-12-02,165,61,104
2019-12-03,155,63,92
2019-12-04,104,,104
2019-12-05,71,,71
2019-12-06,146,57,89
2019-12-07,150,59,91
2019-12-08,170,57,113
2019-12-09,155,63,92
2019-12-10,148,59,89
2019-12-11,160,61,99
2019-12-12,160,61,99
2019-12-13,172,57,115
2019-12-14,108,,108
2019-12-15,163,63,100
2019-12-16,156,61,95
2019-12-17,168,63,105
2019-12-18,164,64,100
2019-12-19,156,61,95
2019-12-20,99,,99
2019-12-21,160,61,99
2019-12-22,179,64,115
2019-12-23,189,64,125
2019-12-24,152,68,84
2019-12-25,161,59,102
2019-12-26,152,57,95
2019-12-27,157,64,93
2019-12-28,93,,93
2019-12-29,156,59,97
2019-12-30,167,57,110
2019-12-31,813,209,604
2020-01-01,280,63,217
2020-01-02,257,80,177
2020-01-03,260,87,173
2020-01-04,231,68,163
2020-01-05,242,68,174
2020-01-06,197,66,131
2020-01-07,204,66,138
2020-01-08,185,68,117
2020-01-09,189,83,106
2020-01-10,174,61,113
2020-01-11,118,,118
2020-01-12,174,59,115
2020-01-13,178,70,108
2020-01-14,179,57,122
2020-01-15,189,66,123
2020-01-16,174,68,106
2020-01-17,255,74,181
2020-01-18,308,76,232
2020-01-19,613,200,413
2020-01-20,2029,675,1354
2020-01-21,4545,874,3671
2020-01-22,7607,894,6713
2020-01-23,9954,911,9043
2020-01-24,4845,712,4133
2020-01-25,3383,585,2798
2020-01-26,2629,507,2122
2020-01-27,2175,436,1739
2020-01-28,1873,400,1473
2020-01-29,1744,374,1370
2020-01-30,1582,338,1244
2020-01-31,1766,423,1343
2020-02-01,1560,402,1158
2020-02-02,1676,510,1166
2020-02-03,1426,414,1012
2020-02-04,1328,349,979
2020-02-05,1424,439,985
2020-02-06,1430,436,994
2020-02-07,1402,405,997
2020-02-08,1363,361,1002
2020-02-09,1330,360,970
2020-02-10,1356,378,978
2020-02-11,1336,392,944
2020-02-12,1298,366,932
2020-02-13,1344,394,950
2020-02-14,1307,357,950
2020-02-15,1146,267,879
2020-02-16,1124,240,884
2020-02-17,1116,260,856
2020-02-18,1105,239,866
2020-02-19,1144,281,863
2020-02-20,1081,239,842
2020-02-21,1115,243,872
2020-02-22,1133,259,874
2020-02-23,1115,228,887
2020-02-24,1129,274,855
2020-02-25,1198,312,886
2020-02-26,1214,318,896
2020-02-27,1122,262,860
2020-02-28,1156,301,855
2020-02-29,1164,284,880
2020-03-01,1127,253,874
2020-03-02,1188,290,898
2020-03-03,1147,253,894
2020-03-04,1160,282,878
2020-03-05,1103,247,856
2020-03-06,1080,233,847
2020-03-07,1086,239,847
2020-03-08,1069,222,847
2020-03-09,1159,313,846
2020-03-10,1094,276,818
2020-03-11,1147,301,846
2020-03-12,1107,260,847
2020-03-13,1097,245,852
2020-03-14,1085,237,848
2020-03-15,1063,201,862
2020-03-16,1147,285,862
2020-03-17,1128,265,863
2020-03-18,1131,278,853
2020-03-19,1083,231,852
2020-03-20,1048,225,823
2020-03-21,1012,169,843
2020-03-22,950,97,853
2020-03-23,1071,220,851
2020-03-24,1017,175,842
2020-03-25,1104,256,848
2020-03-26,1031,205,826
2020-03-27,959,208,751
2020-03-28,964,170,794
2020-03-29,1095,239,856
2020-03-30,1131,274,857
2020-03-31,1115,247,868
2020-04-01,1077,216,861
