日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,57,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,57,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,57,57,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,138,59,79
2020-01-21,181,63,118
2020-01-22,251,74,177
2020-01-23,307,95,212
2020-01-24,198,68,130
2020-01-25,195,76,119
2020-01-26,169,63,106
2020-01-27,147,63,84
2020-01-28,146,66,80
2020-01-29,148,64,84
2020-01-30,141,61,80
2020-01-31,141,59,82
2020-02-01,148,68,80
2020-02-02,148,64,84
2020-02-03,148,66,82
2020-02-04,137,59,78
2020-02-05,141,59,82
2020-02-06,163,72,91
2020-02-07,143,63,80
2020-02-08,145,63,82
2020-02-09,145,59,86
2020-02-10,135,59,76
2020-02-11,139,61,78
2020-02-12,146,57,89
2020-02-13,137,57,80
2020-02-14,142,68,74
2020-02-15,144,66,78
2020-02-16,134,63,71
2020-02-17,133,66,67
2020-02-18,135,59,76
2020-02-19,132,61,71
2020-02-20,134,64,70
2020-02-21,147,61,86
2020-02-22,145,59,86
2020-02-23,128,57,71
2020-02-24,139,59,80
2020-02-25,130,61,69
2020-02-26,132,59,73
2020-02-27,142,64,78
2020-02-28,129,63,66
2020-02-29,140,64,76
2020-03-01,142,63,79
2020-03-02,132,59,73
2020-03-03,132,61,71
2020-03-04,141,63,78
2020-03-05,139,63,76
2020-03-06,135,61,74
2020-03-07,136,66,70
2020-03-08,143,61,82
2020-03-09,137,63,74
2020-03-10,133,57,76
2020-03-11,146,63,83
2020-03-12,141,68,73
2020-03-13,160,74,86
2020-03-14,156,63,93
2020-03-15,145,59,86
2020-03-16,198,85,113
2020-03-17,166,66,100
2020-03-18,183,70,113
2020-03-19,179,61,118
2020-03-20,205,70,135
2020-03-21,175,63,112
2020-03-22,204,57,147
2020-03-23,187,68,119
2020-03-24,207,68,139
2020-03-25,198,80,118
2020-03-26,166,64,102
2020-03-27,161,74,87
2020-03-28,152,63,89
2020-03-29,160,61,99
2020-03-30,182,70,112
2020-03-31,186,64,122
2020-04-01,180,59,121
