日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,60,,60
2019-12-22,57,57,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,57,
2020-01-01,57,,57
2020-01-02,58,,58
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,129,59,70
2020-01-21,244,74,170
2020-01-22,401,112,289
2020-01-23,505,106,399
2020-01-24,344,87,257
2020-01-25,284,76,208
2020-01-26,281,85,196
2020-01-27,235,64,171
2020-01-28,212,61,151
2020-01-29,186,61,125
2020-01-30,193,68,125
2020-01-31,222,74,148
2020-02-01,182,78,104
2020-02-02,188,66,122
2020-02-03,169,61,108
2020-02-04,157,66,91
2020-02-05,157,78,79
2020-02-06,175,70,105
2020-02-07,185,68,117
2020-02-08,183,70,113
2020-02-09,178,68,110
2020-02-10,163,63,100
2020-02-11,162,66,96
2020-02-12,151,68,83
2020-02-13,163,64,99
2020-02-14,159,59,100
2020-02-15,172,72,100
2020-02-16,155,66,89
2020-02-17,97,,97
2020-02-18,157,64,93
2020-02-19,148,61,87
2020-02-20,148,57,91
2020-02-21,148,59,89
2020-02-22,143,63,80
2020-02-23,146,57,89
2020-02-24,142,68,74
2020-02-25,151,64,87
2020-02-26,155,63,92
2020-02-27,148,66,82
2020-02-28,141,61,80
2020-02-29,150,59,91
2020-03-01,159,64,95
2020-03-02,161,61,100
2020-03-03,153,61,92
2020-03-04,148,68,80
2020-03-05,132,59,73
2020-03-06,128,57,71
2020-03-07,154,63,91
2020-03-08,145,61,84
2020-03-09,142,63,79
2020-03-10,140,61,79
2020-03-11,154,70,84
2020-03-12,137,59,78
2020-03-13,148,66,82
2020-03-14,145,61,84
2020-03-15,142,64,78
2020-03-16,145,63,82
2020-03-17,143,61,82
2020-03-18,138,68,70
2020-03-19,137,64,73
2020-03-20,128,59,69
2020-03-21,137,59,78
2020-03-22,127,57,70
2020-03-23,130,63,67
2020-03-24,130,59,71
2020-03-25,139,61,78
2020-03-26,142,63,79
2020-03-27,145,66,79
2020-03-28,128,57,71
2020-03-29,130,64,66
2020-03-30,132,61,71
2020-03-31,141,70,71
2020-04-01,139,57,82
