日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,57,57,
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,57,,57
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,58,,58
2019-12-18,61,,61
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,60,,60
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,67,,67
2020-01-21,218,66,152
2020-01-22,353,87,266
2020-01-23,437,97,340
2020-01-24,245,78,167
2020-01-25,204,74,130
2020-01-26,217,70,147
2020-01-27,188,57,131
2020-01-28,163,64,99
2020-01-29,166,66,100
2020-01-30,156,59,97
2020-01-31,159,64,95
2020-02-01,156,63,93
2020-02-02,162,66,96
2020-02-03,171,80,91
2020-02-04,156,70,86
2020-02-05,139,63,76
2020-02-06,167,68,99
2020-02-07,145,59,86
2020-02-08,150,64,86
2020-02-09,136,63,73
2020-02-10,160,68,92
2020-02-11,154,63,91
2020-02-12,140,64,76
2020-02-13,161,61,100
2020-02-14,157,68,89
2020-02-15,139,57,82
2020-02-16,143,63,80
2020-02-17,78,,78
2020-02-18,143,63,80
2020-02-19,136,66,70
2020-02-20,139,66,73
2020-02-21,124,57,67
2020-02-22,157,64,93
2020-02-23,147,61,86
2020-02-24,126,59,67
2020-02-25,135,61,74
2020-02-26,145,63,82
2020-02-27,147,61,86
2020-02-28,137,61,76
2020-02-29,146,68,78
2020-03-01,136,63,73
2020-03-02,129,59,70
2020-03-03,154,59,95
2020-03-04,150,66,84
2020-03-05,146,63,83
2020-03-06,137,61,76
2020-03-07,124,59,65
2020-03-08,132,63,69
2020-03-09,137,66,71
2020-03-10,132,59,73
2020-03-11,134,61,73
2020-03-12,150,64,86
2020-03-13,133,66,67
2020-03-14,136,66,70
2020-03-15,141,63,78
2020-03-16,131,66,65
2020-03-17,134,68,66
2020-03-18,137,70,67
2020-03-19,70,,70
2020-03-20,149,63,86
2020-03-21,124,57,67
2020-03-22,133,57,76
2020-03-23,141,63,78
2020-03-24,84,,84
2020-03-25,140,61,79
2020-03-26,138,59,79
2020-03-27,132,59,73
2020-03-28,143,61,82
2020-03-29,146,64,82
2020-03-30,140,61,79
2020-03-31,137,64,73
2020-04-01,130,59,71
