日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,58,,58
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,61,61,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,114,57,57
2019-12-30,,,
2019-12-31,120,57,63
2020-01-01,60,,60
2020-01-02,57,57,
2020-01-03,60,,60
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,58,,58
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,57,
2020-01-18,57,,57
2020-01-19,58,,58
2020-01-20,175,66,109
2020-01-21,282,85,197
2020-01-22,564,110,454
2020-01-23,904,125,779
2020-01-24,448,83,365
2020-01-25,374,101,273
2020-01-26,289,78,211
2020-01-27,264,80,184
2020-01-28,261,72,189
2020-01-29,257,74,183
2020-01-30,240,70,170
2020-01-31,259,93,166
2020-02-01,224,85,139
2020-02-02,240,80,160
2020-02-03,223,85,138
2020-02-04,204,68,136
2020-02-05,217,85,132
2020-02-06,204,82,122
2020-02-07,220,76,144
2020-02-08,189,76,113
2020-02-09,214,70,144
2020-02-10,218,70,148
2020-02-11,201,70,131
2020-02-12,217,72,145
2020-02-13,197,74,123
2020-02-14,214,83,131
2020-02-15,158,66,92
2020-02-16,167,61,106
2020-02-17,173,63,110
2020-02-18,174,68,106
2020-02-19,174,64,110
2020-02-20,162,63,99
2020-02-21,188,76,112
2020-02-22,178,68,110
2020-02-23,174,57,117
2020-02-24,177,72,105
2020-02-25,176,68,108
2020-02-26,196,83,113
2020-02-27,169,61,108
2020-02-28,161,70,91
2020-02-29,166,61,105
2020-03-01,166,70,96
2020-03-02,203,78,125
2020-03-03,181,68,113
2020-03-04,182,78,104
2020-03-05,158,59,99
2020-03-06,184,76,108
2020-03-07,196,66,130
2020-03-08,209,74,135
2020-03-09,177,72,105
2020-03-10,185,85,100
2020-03-11,199,74,125
2020-03-12,174,72,102
2020-03-13,99,,99
2020-03-14,163,64,99
2020-03-15,174,57,117
2020-03-16,168,63,105
2020-03-17,169,72,97
2020-03-18,170,66,104
2020-03-19,158,59,99
2020-03-20,160,63,97
2020-03-21,159,59,100
2020-03-22,153,57,96
2020-03-23,160,63,97
2020-03-24,166,61,105
2020-03-25,169,70,99
2020-03-26,160,63,97
2020-03-27,165,59,106
2020-03-28,155,63,92
2020-03-29,156,61,95
2020-03-30,180,70,110
2020-03-31,169,64,105
2020-04-01,175,57,118
