日期,全部,pc,移动
2019-12-01,135,59,76
2019-12-02,141,57,84
2019-12-03,135,59,76
2019-12-04,83,,83
2019-12-05,66,,66
2019-12-06,74,,74
2019-12-07,126,57,69
2019-12-08,91,,91
2019-12-09,137,57,80
2019-12-10,133,57,76
2019-12-11,138,59,79
2019-12-12,133,59,74
2019-12-13,139,57,82
2019-12-14,82,,82
2019-12-15,148,61,87
2019-12-16,140,61,79
2019-12-17,148,59,89
2019-12-18,145,63,82
2019-12-19,135,59,76
2019-12-20,83,,83
2019-12-21,133,57,76
2019-12-22,154,61,93
2019-12-23,162,63,99
2019-12-24,141,63,78
2019-12-25,141,57,84
2019-12-26,141,57,84
2019-12-27,132,63,69
2019-12-28,71,,71
2019-12-29,141,57,84
2019-12-30,156,57,99
2019-12-31,746,201,545
2020-01-01,251,61,190
2020-01-02,233,78,155
2020-01-03,240,85,155
2020-01-04,212,68,144
2020-01-05,210,66,144
2020-01-06,175,66,109
2020-01-07,181,63,118
2020-01-08,163,66,97
2020-01-09,165,76,89
2020-01-10,164,59,105
2020-01-11,93,,93
2020-01-12,159,59,100
2020-01-13,155,64,91
2020-01-14,97,,97
2020-01-15,153,64,89
2020-01-16,159,64,95
2020-01-17,233,72,161
2020-01-18,281,72,209
2020-01-19,555,186,369
2020-01-20,1742,613,1129
2020-01-21,3233,690,2543
2020-01-22,4637,631,4006
2020-01-23,5605,547,5058
2020-01-24,2510,352,2158
2020-01-25,1717,267,1450
2020-01-26,1342,233,1109
2020-01-27,1205,237,968
2020-01-28,1158,220,938
2020-01-29,1098,195,903
2020-01-30,1084,191,893
2020-01-31,1119,220,899
2020-02-01,1095,216,879
2020-02-02,1157,279,878
2020-02-03,1084,231,853
2020-02-04,994,198,796
2020-02-05,1059,223,836
2020-02-06,1099,253,846
2020-02-07,1078,228,850
2020-02-08,1062,209,853
2020-02-09,1007,218,789
2020-02-10,987,208,779
2020-02-11,952,222,730
2020-02-12,910,236,674
2020-02-13,939,205,734
2020-02-14,980,208,772
2020-02-15,677,148,529
2020-02-16,728,154,574
2020-02-17,651,168,483
2020-02-18,693,151,542
2020-02-19,669,161,508
2020-02-20,627,162,465
2020-02-21,688,152,536
2020-02-22,656,159,497
2020-02-23,722,166,556
2020-02-24,638,159,479
2020-02-25,802,202,600
2020-02-26,820,190,630
2020-02-27,673,168,505
2020-02-28,664,173,491
2020-02-29,703,163,540
2020-03-01,706,142,564
2020-03-02,796,176,620
2020-03-03,772,161,611
2020-03-04,734,163,571
2020-03-05,637,155,482
2020-03-06,618,139,479
2020-03-07,599,159,440
2020-03-08,572,125,447
2020-03-09,660,168,492
2020-03-10,616,166,450
2020-03-11,662,179,483
2020-03-12,678,163,515
2020-03-13,647,144,503
2020-03-14,620,155,465
2020-03-15,657,140,517
2020-03-16,659,166,493
2020-03-17,717,154,563
2020-03-18,672,168,504
2020-03-19,650,151,499
2020-03-20,595,129,466
2020-03-21,592,99,493
2020-03-22,555,64,491
2020-03-23,661,142,519
2020-03-24,588,110,478
2020-03-25,675,151,524
2020-03-26,649,146,503
2020-03-27,574,144,430
2020-03-28,626,120,506
2020-03-29,747,168,579
2020-03-30,744,187,557
2020-03-31,760,172,588
2020-04-01,726,155,571
