日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,63,,63
2019-12-13,67,,67
2019-12-14,,,
2019-12-15,57,57,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,58,,58
2019-12-24,,,
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,60,,60
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,63,,63
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,57,57,
2020-01-04,58,,58
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,114,57,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,118,57,61
2020-01-19,,,
2020-01-20,191,76,115
2020-01-21,372,108,264
2020-01-22,685,118,567
2020-01-23,871,140,731
2020-01-24,524,85,439
2020-01-25,442,97,345
2020-01-26,333,99,234
2020-01-27,304,95,209
2020-01-28,246,64,182
2020-01-29,281,82,199
2020-01-30,228,70,158
2020-01-31,277,91,186
2020-02-01,242,82,160
2020-02-02,247,76,171
2020-02-03,224,72,152
2020-02-04,248,87,161
2020-02-05,234,80,154
2020-02-06,239,82,157
2020-02-07,223,76,147
2020-02-08,247,76,171
2020-02-09,226,87,139
2020-02-10,243,83,160
2020-02-11,217,78,139
2020-02-12,219,78,141
2020-02-13,213,82,131
2020-02-14,220,82,138
2020-02-15,202,70,132
2020-02-16,187,64,123
2020-02-17,200,78,122
2020-02-18,165,66,99
2020-02-19,184,85,99
2020-02-20,161,64,97
2020-02-21,188,76,112
2020-02-22,201,66,135
2020-02-23,171,63,108
2020-02-24,197,80,117
2020-02-25,199,82,117
2020-02-26,200,72,128
2020-02-27,184,74,110
2020-02-28,208,83,125
2020-02-29,191,72,119
2020-03-01,204,91,113
2020-03-02,207,82,125
2020-03-03,185,63,122
2020-03-04,174,68,106
2020-03-05,168,68,100
2020-03-06,182,76,106
2020-03-07,187,72,115
2020-03-08,165,63,102
2020-03-09,208,93,115
2020-03-10,163,68,95
2020-03-11,166,70,96
2020-03-12,171,72,99
2020-03-13,180,74,106
2020-03-14,191,68,123
2020-03-15,166,70,96
2020-03-16,191,72,119
2020-03-17,177,72,105
2020-03-18,178,72,106
2020-03-19,182,78,104
2020-03-20,171,66,105
2020-03-21,156,64,92
2020-03-22,156,57,99
2020-03-23,163,68,95
2020-03-24,142,59,83
2020-03-25,164,64,100
2020-03-26,146,59,87
2020-03-27,145,66,79
2020-03-28,158,63,95
2020-03-29,164,64,100
2020-03-30,167,68,99
2020-03-31,164,68,96
2020-04-01,159,66,93
