日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,58,,58
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,57,,57
2019-12-27,57,,57
2019-12-28,58,,58
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,57,,57
2020-01-15,57,,57
2020-01-16,57,,57
2020-01-17,57,,57
2020-01-18,57,,57
2020-01-19,117,59,58
2020-01-20,130,57,73
2020-01-21,232,70,162
2020-01-22,349,82,267
2020-01-23,444,89,355
2020-01-24,263,76,187
2020-01-25,240,78,162
2020-01-26,194,72,122
2020-01-27,196,68,128
2020-01-28,180,76,104
2020-01-29,187,78,109
2020-01-30,185,70,115
2020-01-31,166,66,100
2020-02-01,160,64,96
2020-02-02,150,70,80
2020-02-03,160,68,92
2020-02-04,156,63,93
2020-02-05,160,63,97
2020-02-06,150,61,89
2020-02-07,155,72,83
2020-02-08,180,70,110
2020-02-09,160,64,96
2020-02-10,161,70,91
2020-02-11,142,63,79
2020-02-12,156,64,92
2020-02-13,153,74,79
2020-02-14,168,66,102
2020-02-15,147,68,79
2020-02-16,130,57,73
2020-02-17,139,61,78
2020-02-18,135,64,71
2020-02-19,148,66,82
2020-02-20,126,57,69
2020-02-21,143,59,84
2020-02-22,156,70,86
2020-02-23,150,68,82
2020-02-24,148,68,80
2020-02-25,147,63,84
2020-02-26,138,59,79
2020-02-27,139,66,73
2020-02-28,158,59,99
2020-02-29,148,64,84
2020-03-01,145,66,79
2020-03-02,151,64,87
2020-03-03,146,68,78
2020-03-04,149,63,86
2020-03-05,135,59,76
2020-03-06,148,72,76
2020-03-07,141,59,82
2020-03-08,140,61,79
2020-03-09,141,61,80
2020-03-10,142,59,83
2020-03-11,135,64,71
2020-03-12,137,57,80
2020-03-13,142,63,79
2020-03-14,144,66,78
2020-03-15,80,,80
2020-03-16,135,59,76
2020-03-17,139,63,76
2020-03-18,140,57,83
2020-03-19,133,57,76
2020-03-20,130,61,69
2020-03-21,129,59,70
2020-03-22,134,61,73
2020-03-23,134,61,73
2020-03-24,132,63,69
2020-03-25,140,70,70
2020-03-26,126,63,63
2020-03-27,128,61,67
2020-03-28,130,59,71
2020-03-29,149,66,83
2020-03-30,133,66,67
2020-03-31,131,57,74
2020-04-01,139,61,78
