日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,57,57,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,115,57,58
2019-12-08,61,,61
2019-12-09,,,
2019-12-10,,,
2019-12-11,114,57,57
2019-12-12,,,
2019-12-13,60,,60
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,63,,63
2019-12-17,60,,60
2019-12-18,,,
2019-12-19,58,,58
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,58,,58
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,118,57,61
2020-01-01,115,57,58
2020-01-02,57,,57
2020-01-03,61,,61
2020-01-04,57,,57
2020-01-05,63,,63
2020-01-06,57,,57
2020-01-07,58,,58
2020-01-08,58,,58
2020-01-09,114,57,57
2020-01-10,57,,57
2020-01-11,61,,61
2020-01-12,57,,57
2020-01-13,114,57,57
2020-01-14,60,,60
2020-01-15,58,,58
2020-01-16,,,
2020-01-17,60,,60
2020-01-18,,,
2020-01-19,126,57,69
2020-01-20,188,57,131
2020-01-21,502,95,407
2020-01-22,964,104,860
2020-01-23,1088,159,929
2020-01-24,714,104,610
2020-01-25,592,99,493
2020-01-26,424,89,335
2020-01-27,377,93,284
2020-01-28,329,91,238
2020-01-29,293,72,221
2020-01-30,282,76,206
2020-01-31,311,82,229
2020-02-01,276,70,206
2020-02-02,279,89,190
2020-02-03,255,66,189
2020-02-04,265,80,185
2020-02-05,265,91,174
2020-02-06,231,64,167
2020-02-07,263,80,183
2020-02-08,242,68,174
2020-02-09,272,83,189
2020-02-10,250,72,178
2020-02-11,244,78,166
2020-02-12,237,72,165
2020-02-13,239,78,161
2020-02-14,231,70,161
2020-02-15,226,72,154
2020-02-16,233,70,163
2020-02-17,208,63,145
2020-02-18,220,66,154
2020-02-19,227,78,149
2020-02-20,218,74,144
2020-02-21,202,72,130
2020-02-22,221,70,151
2020-02-23,212,61,151
2020-02-24,206,70,136
2020-02-25,194,66,128
2020-02-26,219,78,141
2020-02-27,205,74,131
2020-02-28,233,85,148
2020-02-29,225,76,149
2020-03-01,207,64,143
2020-03-02,227,68,159
2020-03-03,228,76,152
2020-03-04,221,72,149
2020-03-05,217,66,151
2020-03-06,197,59,138
2020-03-07,204,68,136
2020-03-08,207,68,139
2020-03-09,187,78,109
2020-03-10,192,66,126
2020-03-11,193,70,123
2020-03-12,196,74,122
2020-03-13,201,78,123
2020-03-14,215,80,135
2020-03-15,198,63,135
2020-03-16,201,82,119
2020-03-17,178,63,115
2020-03-18,182,64,118
2020-03-19,193,61,132
2020-03-20,166,61,105
2020-03-21,181,64,117
2020-03-22,160,61,99
2020-03-23,213,74,139
2020-03-24,187,70,117
2020-03-25,170,66,104
2020-03-26,162,63,99
2020-03-27,184,63,121
2020-03-28,158,61,97
2020-03-29,182,63,119
2020-03-30,184,66,118
2020-03-31,187,61,126
2020-04-01,157,61,96
