日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,57,57,
2019-12-09,57,57,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,60,,60
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,114,57,57
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,60,,60
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,60,,60
2020-01-10,,,
2020-01-11,60,,60
2020-01-12,,,
2020-01-13,,,
2020-01-14,117,57,60
2020-01-15,60,,60
2020-01-16,,,
2020-01-17,60,,60
2020-01-18,117,57,60
2020-01-19,117,59,58
2020-01-20,171,61,110
2020-01-21,341,87,254
2020-01-22,703,118,585
2020-01-23,967,125,842
2020-01-24,684,140,544
2020-01-25,414,99,315
2020-01-26,359,95,264
2020-01-27,286,74,212
2020-01-28,254,80,174
2020-01-29,288,87,201
2020-01-30,262,78,184
2020-01-31,272,74,198
2020-02-01,258,76,182
2020-02-02,262,101,161
2020-02-03,242,87,155
2020-02-04,225,70,155
2020-02-05,243,89,154
2020-02-06,239,80,159
2020-02-07,253,85,168
2020-02-08,236,76,160
2020-02-09,225,70,155
2020-02-10,254,76,178
2020-02-11,216,82,134
2020-02-12,204,63,141
2020-02-13,231,83,148
2020-02-14,206,80,126
2020-02-15,189,76,113
2020-02-16,191,70,121
2020-02-17,192,82,110
2020-02-18,161,66,95
2020-02-19,167,68,99
2020-02-20,165,59,106
2020-02-21,186,68,118
2020-02-22,177,78,99
2020-02-23,186,68,118
2020-02-24,189,59,130
2020-02-25,186,68,118
2020-02-26,189,72,117
2020-02-27,180,68,112
2020-02-28,189,80,109
2020-02-29,202,80,122
2020-03-01,174,70,104
2020-03-02,170,66,104
2020-03-03,165,68,97
2020-03-04,208,80,128
2020-03-05,204,74,130
2020-03-06,170,66,104
2020-03-07,165,59,106
2020-03-08,180,83,97
2020-03-09,199,82,117
2020-03-10,166,74,92
2020-03-11,197,80,117
2020-03-12,169,74,95
2020-03-13,187,68,119
2020-03-14,172,66,106
2020-03-15,156,57,99
2020-03-16,178,74,104
2020-03-17,175,70,105
2020-03-18,153,66,87
2020-03-19,158,72,86
2020-03-20,165,72,93
2020-03-21,154,72,82
2020-03-22,157,61,96
2020-03-23,144,64,80
2020-03-24,150,63,87
2020-03-25,143,61,82
2020-03-26,155,64,91
2020-03-27,86,,86
2020-03-28,141,59,82
2020-03-29,149,70,79
2020-03-30,152,61,91
2020-03-31,150,63,87
2020-04-01,151,72,79
