日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,57,
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,61,,61
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,57,,57
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,65,,65
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,58,,58
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,122,57,65
2020-01-21,182,61,121
2020-01-22,325,82,243
2020-01-23,430,89,341
2020-01-24,350,80,270
2020-01-25,314,80,234
2020-01-26,307,68,239
2020-01-27,329,63,266
2020-01-28,286,74,212
2020-01-29,257,64,193
2020-01-30,291,83,208
2020-01-31,296,68,228
2020-02-01,260,68,192
2020-02-02,265,82,183
2020-02-03,255,87,168
2020-02-04,227,72,155
2020-02-05,259,80,179
2020-02-06,221,61,160
2020-02-07,247,70,177
2020-02-08,234,66,168
2020-02-09,232,66,166
2020-02-10,238,83,155
2020-02-11,241,64,177
2020-02-12,241,78,163
2020-02-13,216,61,155
2020-02-14,224,70,154
2020-02-15,168,59,109
2020-02-16,191,57,134
2020-02-17,193,72,121
2020-02-18,192,61,131
2020-02-19,194,63,131
2020-02-20,199,61,138
2020-02-21,196,68,128
2020-02-22,177,59,118
2020-02-23,202,61,141
2020-02-24,196,68,128
2020-02-25,195,78,117
2020-02-26,193,70,123
2020-02-27,180,63,117
2020-02-28,193,61,132
2020-02-29,177,64,113
2020-03-01,169,59,110
2020-03-02,207,68,139
2020-03-03,108,,108
2020-03-04,146,59,87
2020-03-05,172,66,106
2020-03-06,154,59,95
2020-03-07,133,59,74
2020-03-08,159,63,96
2020-03-09,156,57,99
2020-03-10,144,57,87
2020-03-11,150,57,93
2020-03-12,76,,76
2020-03-13,82,,82
2020-03-14,148,64,84
2020-03-15,82,,82
2020-03-16,145,63,82
2020-03-17,126,59,67
2020-03-18,133,64,69
2020-03-19,126,57,69
2020-03-20,124,57,67
2020-03-21,130,57,73
2020-03-22,131,57,74
2020-03-23,128,57,71
2020-03-24,117,57,60
2020-03-25,135,59,76
2020-03-26,126,57,69
2020-03-27,127,57,70
2020-03-28,126,57,69
2020-03-29,130,59,71
2020-03-30,146,59,87
2020-03-31,59,59,
2020-04-01,123,57,66
