日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,58,,58
2019-12-04,63,,63
2019-12-05,114,57,57
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,58,,58
2019-12-09,58,,58
2019-12-10,122,57,65
2019-12-11,58,,58
2019-12-12,58,,58
2019-12-13,57,,57
2019-12-14,61,,61
2019-12-15,61,,61
2019-12-16,67,,67
2019-12-17,60,,60
2019-12-18,66,,66
2019-12-19,60,,60
2019-12-20,,,
2019-12-21,,,
2019-12-22,60,,60
2019-12-23,61,,61
2019-12-24,58,,58
2019-12-25,57,,57
2019-12-26,60,,60
2019-12-27,60,,60
2019-12-28,63,,63
2019-12-29,57,,57
2019-12-30,60,,60
2019-12-31,59,59,
2020-01-01,58,,58
2020-01-02,60,,60
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,58,,58
2020-01-06,57,57,
2020-01-07,57,,57
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,60,,60
2020-01-20,80,,80
2020-01-21,383,80,303
2020-01-22,825,106,719
2020-01-23,969,106,863
2020-01-24,685,78,607
2020-01-25,787,95,692
2020-01-26,713,97,616
2020-01-27,560,85,475
2020-01-28,518,85,433
2020-01-29,442,80,362
2020-01-30,440,80,360
2020-01-31,498,108,390
2020-02-01,412,85,327
2020-02-02,412,85,327
2020-02-03,417,116,301
2020-02-04,330,80,250
2020-02-05,384,99,285
2020-02-06,427,104,323
2020-02-07,477,104,373
2020-02-08,382,82,300
2020-02-09,370,74,296
2020-02-10,406,97,309
2020-02-11,375,95,280
2020-02-12,332,97,235
2020-02-13,351,80,271
2020-02-14,341,95,246
2020-02-15,323,91,232
2020-02-16,286,74,212
2020-02-17,297,93,204
2020-02-18,261,72,189
2020-02-19,289,74,215
2020-02-20,246,72,174
2020-02-21,293,85,208
2020-02-22,269,61,208
2020-02-23,272,64,208
2020-02-24,273,91,182
2020-02-25,305,101,204
2020-02-26,291,66,225
2020-02-27,295,80,215
2020-02-28,269,80,189
2020-02-29,254,70,184
2020-03-01,238,68,170
2020-03-02,251,72,179
2020-03-03,215,64,151
2020-03-04,238,68,170
2020-03-05,244,85,159
2020-03-06,189,59,130
2020-03-07,204,57,147
2020-03-08,188,66,122
2020-03-09,192,66,126
2020-03-10,216,82,134
2020-03-11,181,66,115
2020-03-12,172,70,102
2020-03-13,182,61,121
2020-03-14,173,61,112
2020-03-15,197,66,131
2020-03-16,177,72,105
2020-03-17,180,63,117
2020-03-18,146,59,87
2020-03-19,170,68,102
2020-03-20,167,63,104
2020-03-21,156,61,95
2020-03-22,150,61,89
2020-03-23,181,66,115
2020-03-24,155,59,96
2020-03-25,160,68,92
2020-03-26,161,64,97
2020-03-27,95,,95
2020-03-28,147,61,86
2020-03-29,159,57,102
2020-03-30,147,61,86
2020-03-31,134,61,73
2020-04-01,146,63,83
