日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,,,
2019-12-03,65,,65
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,114,57,57
2019-12-08,57,,57
2019-12-09,60,,60
2019-12-10,,,
2019-12-11,58,,58
2019-12-12,117,57,60
2019-12-13,,,
2019-12-14,60,,60
2019-12-15,58,,58
2019-12-16,,,
2019-12-17,58,,58
2019-12-18,60,,60
2019-12-19,58,,58
2019-12-20,57,,57
2019-12-21,60,,60
2019-12-22,,,
2019-12-23,115,57,58
2019-12-24,,,
2019-12-25,,,
2019-12-26,60,,60
2019-12-27,57,,57
2019-12-28,61,,61
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,116,59,57
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,57,57,
2020-01-20,61,,61
2020-01-21,238,64,174
2020-01-22,459,85,374
2020-01-23,697,108,589
2020-01-24,482,74,408
2020-01-25,554,72,482
2020-01-26,497,91,406
2020-01-27,395,89,306
2020-01-28,368,72,296
2020-01-29,321,83,238
2020-01-30,333,83,250
2020-01-31,372,85,287
2020-02-01,359,82,277
2020-02-02,346,82,264
2020-02-03,348,89,259
2020-02-04,327,82,245
2020-02-05,315,83,232
2020-02-06,319,95,224
2020-02-07,341,89,252
2020-02-08,297,66,231
2020-02-09,265,72,193
2020-02-10,326,91,235
2020-02-11,277,80,197
2020-02-12,284,72,212
2020-02-13,324,99,225
2020-02-14,360,83,277
2020-02-15,281,78,203
2020-02-16,253,83,170
2020-02-17,242,80,162
2020-02-18,242,72,170
2020-02-19,234,76,158
2020-02-20,247,68,179
2020-02-21,236,87,149
2020-02-22,225,74,151
2020-02-23,258,72,186
2020-02-24,222,70,152
2020-02-25,260,80,180
2020-02-26,249,78,171
2020-02-27,224,72,152
2020-02-28,242,74,168
2020-02-29,222,64,158
2020-03-01,208,70,138
2020-03-02,206,68,138
2020-03-03,172,66,106
2020-03-04,210,72,138
2020-03-05,193,68,125
2020-03-06,193,74,119
2020-03-07,182,76,106
2020-03-08,174,64,110
2020-03-09,189,76,113
2020-03-10,157,64,93
2020-03-11,150,59,91
2020-03-12,162,57,105
2020-03-13,158,61,97
2020-03-14,150,59,91
2020-03-15,148,57,91
2020-03-16,71,,71
2020-03-17,161,64,97
2020-03-18,139,61,78
2020-03-19,78,,78
2020-03-20,135,61,74
2020-03-21,140,57,83
2020-03-22,133,57,76
2020-03-23,138,68,70
2020-03-24,139,57,82
2020-03-25,130,59,71
2020-03-26,133,59,74
2020-03-27,136,63,73
2020-03-28,129,59,70
2020-03-29,128,59,69
2020-03-30,143,61,82
2020-03-31,142,64,78
2020-04-01,133,59,74
