日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,61,,61
2019-12-10,,,
2019-12-11,58,,58
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,115,57,58
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,117,59,58
2019-12-25,57,,57
2019-12-26,57,,57
2019-12-27,57,,57
2019-12-28,57,,57
2019-12-29,60,,60
2019-12-30,58,,58
2019-12-31,61,,61
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,58,,58
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,122,57,65
2020-01-21,270,68,202
2020-01-22,665,95,570
2020-01-23,861,99,762
2020-01-24,501,89,412
2020-01-25,584,87,497
2020-01-26,609,78,531
2020-01-27,525,66,459
2020-01-28,452,68,384
2020-01-29,399,66,333
2020-01-30,404,74,330
2020-01-31,410,80,330
2020-02-01,423,83,340
2020-02-02,377,85,292
2020-02-03,374,82,292
2020-02-04,332,78,254
2020-02-05,300,76,224
2020-02-06,395,89,306
2020-02-07,314,80,234
2020-02-08,347,70,277
2020-02-09,326,80,246
2020-02-10,322,87,235
2020-02-11,311,93,218
2020-02-12,305,74,231
2020-02-13,315,72,243
2020-02-14,319,76,243
2020-02-15,310,68,242
2020-02-16,290,82,208
2020-02-17,294,91,203
2020-02-18,256,72,184
2020-02-19,285,70,215
2020-02-20,301,74,227
2020-02-21,297,66,231
2020-02-22,243,59,184
2020-02-23,275,66,209
2020-02-24,250,76,174
2020-02-25,266,70,196
2020-02-26,269,66,203
2020-02-27,253,66,187
2020-02-28,238,68,170
2020-02-29,231,61,170
2020-03-01,195,59,136
2020-03-02,193,59,134
2020-03-03,211,66,145
2020-03-04,193,68,125
2020-03-05,185,57,128
2020-03-06,168,64,104
2020-03-07,176,61,115
2020-03-08,163,57,106
2020-03-09,187,59,128
2020-03-10,179,64,115
2020-03-11,198,66,132
2020-03-12,164,64,100
2020-03-13,182,61,121
2020-03-14,159,66,93
2020-03-15,153,57,96
2020-03-16,160,61,99
2020-03-17,154,59,95
2020-03-18,162,63,99
2020-03-19,144,57,87
2020-03-20,136,57,79
2020-03-21,80,,80
2020-03-22,92,,92
2020-03-23,137,57,80
2020-03-24,143,57,86
2020-03-25,145,59,86
2020-03-26,139,61,78
2020-03-27,78,,78
2020-03-28,80,,80
2020-03-29,87,,87
2020-03-30,157,66,91
2020-03-31,159,57,102
2020-04-01,91,,91
