日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,57,57,
2019-12-15,57,,57
2019-12-16,57,,57
2019-12-17,63,,63
2019-12-18,57,,57
2019-12-19,57,,57
2019-12-20,58,,58
2019-12-21,60,,60
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,58,,58
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,,,
2020-01-19,60,,60
2020-01-20,134,64,70
2020-01-21,288,83,205
2020-01-22,572,104,468
2020-01-23,734,121,613
2020-01-24,463,72,391
2020-01-25,489,82,407
2020-01-26,529,99,430
2020-01-27,484,91,393
2020-01-28,431,101,330
2020-01-29,414,93,321
2020-01-30,401,114,287
2020-01-31,414,97,317
2020-02-01,387,102,285
2020-02-02,410,125,285
2020-02-03,347,102,245
2020-02-04,336,95,241
2020-02-05,341,89,252
2020-02-06,366,125,241
2020-02-07,357,82,275
2020-02-08,346,89,257
2020-02-09,343,91,252
2020-02-10,340,97,243
2020-02-11,302,87,215
2020-02-12,316,95,221
2020-02-13,317,99,218
2020-02-14,299,101,198
2020-02-15,268,72,196
2020-02-16,265,78,187
2020-02-17,260,80,180
2020-02-18,256,82,174
2020-02-19,235,72,163
2020-02-20,230,72,158
2020-02-21,256,80,176
2020-02-22,229,68,161
2020-02-23,212,78,134
2020-02-24,204,72,132
2020-02-25,238,87,151
2020-02-26,226,64,162
2020-02-27,226,72,154
2020-02-28,247,74,173
2020-02-29,237,70,167
2020-03-01,210,61,149
2020-03-02,223,80,143
2020-03-03,198,76,122
2020-03-04,202,76,126
2020-03-05,194,66,128
2020-03-06,179,61,118
2020-03-07,176,59,117
2020-03-08,168,66,102
2020-03-09,163,68,95
2020-03-10,164,68,96
2020-03-11,186,74,112
2020-03-12,167,72,95
2020-03-13,162,66,96
2020-03-14,150,61,89
2020-03-15,155,59,96
2020-03-16,149,66,83
2020-03-17,141,72,69
2020-03-18,157,64,93
2020-03-19,82,,82
2020-03-20,150,63,87
2020-03-21,139,61,78
2020-03-22,128,57,71
2020-03-23,159,76,83
2020-03-24,140,61,79
2020-03-25,149,70,79
2020-03-26,133,59,74
2020-03-27,143,59,84
2020-03-28,154,59,95
2020-03-29,150,57,93
2020-03-30,143,61,82
2020-03-31,148,61,87
2020-04-01,137,64,73
