日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,57,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,58,,58
2019-12-10,,,
2019-12-11,60,,60
2019-12-12,57,,57
2019-12-13,57,,57
2019-12-14,58,,58
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,58,,58
2019-12-20,57,,57
2019-12-21,58,,58
2019-12-22,,,
2019-12-23,60,,60
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,60,,60
2019-12-27,58,,58
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,58,,58
2020-01-02,57,,57
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,131,57,74
2020-01-21,282,76,206
2020-01-22,508,82,426
2020-01-23,710,87,623
2020-01-24,497,78,419
2020-01-25,552,91,461
2020-01-26,595,83,512
2020-01-27,475,87,388
2020-01-28,392,76,316
2020-01-29,343,72,271
2020-01-30,357,80,277
2020-01-31,359,74,285
2020-02-01,401,102,299
2020-02-02,323,85,238
2020-02-03,354,93,261
2020-02-04,361,106,255
2020-02-05,333,74,259
2020-02-06,352,70,282
2020-02-07,373,93,280
2020-02-08,315,76,239
2020-02-09,273,78,195
2020-02-10,348,85,263
2020-02-11,310,78,232
2020-02-12,288,76,212
2020-02-13,318,82,236
2020-02-14,281,72,209
2020-02-15,273,68,205
2020-02-16,231,63,168
2020-02-17,281,83,198
2020-02-18,271,78,193
2020-02-19,230,68,162
2020-02-20,257,72,185
2020-02-21,261,72,189
2020-02-22,230,68,162
2020-02-23,225,74,151
2020-02-24,247,68,179
2020-02-25,220,63,157
2020-02-26,236,63,173
2020-02-27,229,64,165
2020-02-28,226,72,154
2020-02-29,208,61,147
2020-03-01,205,70,135
2020-03-02,226,85,141
2020-03-03,216,68,148
2020-03-04,193,63,130
2020-03-05,219,80,139
2020-03-06,176,61,115
2020-03-07,165,63,102
2020-03-08,169,64,105
2020-03-09,168,63,105
2020-03-10,170,61,109
2020-03-11,157,61,96
2020-03-12,160,63,97
2020-03-13,156,59,97
2020-03-14,158,61,97
2020-03-15,176,59,117
2020-03-16,143,57,86
2020-03-17,171,61,110
2020-03-18,140,57,83
2020-03-19,144,61,83
2020-03-20,132,63,69
2020-03-21,139,59,80
2020-03-22,89,,89
2020-03-23,146,59,87
2020-03-24,147,63,84
2020-03-25,99,,99
2020-03-26,87,,87
2020-03-27,135,57,78
2020-03-28,148,57,91
2020-03-29,133,59,74
2020-03-30,140,57,83
2020-03-31,136,63,73
2020-04-01,137,57,80
