日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,115,57,58
2019-12-22,58,,58
2019-12-23,58,,58
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,57,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,117,57,60
2020-01-21,165,63,102
2020-01-22,302,78,224
2020-01-23,432,83,349
2020-01-24,271,74,197
2020-01-25,244,68,176
2020-01-26,301,72,229
2020-01-27,288,82,206
2020-01-28,271,82,189
2020-01-29,231,80,151
2020-01-30,244,78,166
2020-01-31,236,82,154
2020-02-01,256,80,176
2020-02-02,233,74,159
2020-02-03,248,85,163
2020-02-04,216,82,134
2020-02-05,215,72,143
2020-02-06,230,68,162
2020-02-07,217,68,149
2020-02-08,223,72,151
2020-02-09,222,74,148
2020-02-10,255,89,166
2020-02-11,265,91,174
2020-02-12,207,72,135
2020-02-13,195,70,125
2020-02-14,211,68,143
2020-02-15,220,85,135
2020-02-16,180,61,119
2020-02-17,189,68,121
2020-02-18,176,61,115
2020-02-19,178,66,112
2020-02-20,172,64,108
2020-02-21,157,64,93
2020-02-22,165,63,102
2020-02-23,166,57,109
2020-02-24,168,68,100
2020-02-25,169,72,97
2020-02-26,160,74,86
2020-02-27,165,70,95
2020-02-28,157,70,87
2020-02-29,155,64,91
2020-03-01,145,59,86
2020-03-02,157,61,96
2020-03-03,155,64,91
2020-03-04,134,61,73
2020-03-05,137,59,78
2020-03-06,151,64,87
2020-03-07,133,57,76
2020-03-08,70,,70
2020-03-09,129,59,70
2020-03-10,134,63,71
2020-03-11,126,59,67
2020-03-12,133,63,70
2020-03-13,134,63,71
2020-03-14,120,57,63
2020-03-15,66,,66
2020-03-16,137,61,76
2020-03-17,126,59,67
2020-03-18,142,63,79
2020-03-19,118,57,61
2020-03-20,124,61,63
2020-03-21,67,,67
2020-03-22,69,,69
2020-03-23,138,68,70
2020-03-24,67,,67
2020-03-25,129,68,61
2020-03-26,134,63,71
2020-03-27,115,57,58
2020-03-28,123,57,66
2020-03-29,124,57,67
2020-03-30,126,61,65
2020-03-31,124,57,67
2020-04-01,124,57,67
