日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,63,,63
2019-12-09,58,,58
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,57,
2019-12-18,,,
2019-12-19,60,,60
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,115,57,58
2020-01-21,159,59,100
2020-01-22,242,68,174
2020-01-23,282,70,212
2020-01-24,211,66,145
2020-01-25,288,68,220
2020-01-26,286,74,212
2020-01-27,253,61,192
2020-01-28,221,66,155
2020-01-29,214,63,151
2020-01-30,213,64,149
2020-01-31,200,68,132
2020-02-01,210,72,138
2020-02-02,223,63,160
2020-02-03,228,83,145
2020-02-04,176,66,110
2020-02-05,177,59,118
2020-02-06,192,61,131
2020-02-07,179,66,113
2020-02-08,191,61,130
2020-02-09,204,63,141
2020-02-10,208,82,126
2020-02-11,172,59,113
2020-02-12,171,61,110
2020-02-13,185,70,115
2020-02-14,152,61,91
2020-02-15,174,59,115
2020-02-16,171,61,110
2020-02-17,156,57,99
2020-02-18,189,61,128
2020-02-19,197,63,134
2020-02-20,199,61,138
2020-02-21,198,63,135
2020-02-22,189,59,130
2020-02-23,176,57,119
2020-02-24,154,61,93
2020-02-25,167,61,106
2020-02-26,167,63,104
2020-02-27,169,61,108
2020-02-28,159,63,96
2020-02-29,99,,99
2020-03-01,146,63,83
2020-03-02,139,57,82
2020-03-03,151,59,92
2020-03-04,142,66,76
2020-03-05,145,61,84
2020-03-06,138,59,79
2020-03-07,130,61,69
2020-03-08,122,57,65
2020-03-09,131,57,74
2020-03-10,120,57,63
2020-03-11,127,57,70
2020-03-12,137,59,78
2020-03-13,122,59,63
2020-03-14,118,57,61
2020-03-15,123,57,66
2020-03-16,127,61,66
2020-03-17,128,59,69
2020-03-18,71,,71
2020-03-19,117,57,60
2020-03-20,120,59,61
2020-03-21,117,59,58
2020-03-22,67,,67
2020-03-23,66,66,
2020-03-24,120,57,63
2020-03-25,66,,66
2020-03-26,117,57,60
2020-03-27,66,,66
2020-03-28,58,,58
2020-03-29,57,,57
2020-03-30,61,,61
2020-03-31,66,,66
2020-04-01,,,
