日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,57,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,60,,60
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,127,61,66
2020-01-21,213,64,149
2020-01-22,399,89,310
2020-01-23,536,97,439
2020-01-24,424,93,331
2020-01-25,380,78,302
2020-01-26,445,76,369
2020-01-27,423,82,341
2020-01-28,356,85,271
2020-01-29,293,72,221
2020-01-30,331,78,253
2020-01-31,367,82,285
2020-02-01,332,82,250
2020-02-02,321,89,232
2020-02-03,325,82,243
2020-02-04,334,112,222
2020-02-05,307,89,218
2020-02-06,343,97,246
2020-02-07,306,72,234
2020-02-08,300,80,220
2020-02-09,272,68,204
2020-02-10,303,91,212
2020-02-11,282,74,208
2020-02-12,309,95,214
2020-02-13,281,82,199
2020-02-14,283,83,200
2020-02-15,253,70,183
2020-02-16,240,78,162
2020-02-17,255,76,179
2020-02-18,234,83,151
2020-02-19,239,87,152
2020-02-20,208,63,145
2020-02-21,235,80,155
2020-02-22,221,74,147
2020-02-23,175,57,118
2020-02-24,180,63,117
2020-02-25,208,72,136
2020-02-26,198,72,126
2020-02-27,194,66,128
2020-02-28,200,64,136
2020-02-29,203,59,144
2020-03-01,169,57,112
2020-03-02,193,68,125
2020-03-03,180,61,119
2020-03-04,169,63,106
2020-03-05,179,61,118
2020-03-06,108,,108
2020-03-07,158,61,97
2020-03-08,154,61,93
2020-03-09,163,61,102
2020-03-10,149,63,86
2020-03-11,152,57,95
2020-03-12,161,57,104
2020-03-13,149,57,92
2020-03-14,141,59,82
2020-03-15,144,57,87
2020-03-16,158,63,95
2020-03-17,141,61,80
2020-03-18,163,72,91
2020-03-19,137,59,78
2020-03-20,135,61,74
2020-03-21,83,,83
2020-03-22,63,,63
2020-03-23,137,57,80
2020-03-24,131,61,70
2020-03-25,138,59,79
2020-03-26,73,,73
2020-03-27,139,59,80
2020-03-28,78,,78
2020-03-29,139,61,78
2020-03-30,128,57,71
2020-03-31,133,57,76
2020-04-01,128,57,71
