日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,58,,58
2019-12-05,61,,61
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,63,,63
2019-12-10,,,
2019-12-11,,,
2019-12-12,58,,58
2019-12-13,57,,57
2019-12-14,60,,60
2019-12-15,67,,67
2019-12-16,60,,60
2019-12-17,57,,57
2019-12-18,61,,61
2019-12-19,60,,60
2019-12-20,60,,60
2019-12-21,,,
2019-12-22,63,,63
2019-12-23,61,,61
2019-12-24,58,,58
2019-12-25,58,,58
2019-12-26,60,,60
2019-12-27,,,
2019-12-28,58,,58
2019-12-29,58,,58
2019-12-30,60,,60
2019-12-31,,,
2020-01-01,116,59,57
2020-01-02,121,61,60
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,137,61,76
2020-01-21,247,61,186
2020-01-22,515,97,418
2020-01-23,813,114,699
2020-01-24,486,95,391
2020-01-25,466,85,381
2020-01-26,530,83,447
2020-01-27,452,106,346
2020-01-28,405,95,310
2020-01-29,342,83,259
2020-01-30,353,82,271
2020-01-31,409,108,301
2020-02-01,377,95,282
2020-02-02,358,99,259
2020-02-03,359,85,274
2020-02-04,330,80,250
2020-02-05,367,97,270
2020-02-06,361,83,278
2020-02-07,346,82,264
2020-02-08,344,85,259
2020-02-09,334,82,252
2020-02-10,318,89,229
2020-02-11,303,82,221
2020-02-12,301,70,231
2020-02-13,304,76,228
2020-02-14,270,74,196
2020-02-15,282,82,200
2020-02-16,264,80,184
2020-02-17,262,78,184
2020-02-18,253,66,187
2020-02-19,246,70,176
2020-02-20,232,68,164
2020-02-21,244,68,176
2020-02-22,226,64,162
2020-02-23,236,78,158
2020-02-24,246,70,176
2020-02-25,244,66,178
2020-02-26,238,78,160
2020-02-27,225,80,145
2020-02-28,221,80,141
2020-02-29,209,64,145
2020-03-01,219,64,155
2020-03-02,179,64,115
2020-03-03,195,63,132
2020-03-04,173,64,109
2020-03-05,180,63,117
2020-03-06,176,61,115
2020-03-07,170,66,104
2020-03-08,160,61,99
2020-03-09,169,59,110
2020-03-10,165,68,97
2020-03-11,158,63,95
2020-03-12,160,64,96
2020-03-13,149,63,86
2020-03-14,153,57,96
2020-03-15,148,59,89
2020-03-16,138,59,79
2020-03-17,170,64,106
2020-03-18,165,63,102
2020-03-19,142,59,83
2020-03-20,142,66,76
2020-03-21,138,64,74
2020-03-22,135,57,78
2020-03-23,143,57,86
2020-03-24,144,61,83
2020-03-25,143,59,84
2020-03-26,149,57,92
2020-03-27,141,61,80
2020-03-28,127,57,70
2020-03-29,144,61,83
2020-03-30,95,,95
2020-03-31,133,57,76
2020-04-01,135,57,78
