日期,全部,pc,移动
2019-12-01,122,57,65
2019-12-02,122,61,61
2019-12-03,132,61,71
2019-12-04,139,63,76
2019-12-05,122,57,65
2019-12-06,125,59,66
2019-12-07,128,59,69
2019-12-08,65,,65
2019-12-09,126,61,65
2019-12-10,127,57,70
2019-12-11,137,59,78
2019-12-12,69,,69
2019-12-13,66,,66
2019-12-14,73,,73
2019-12-15,84,,84
2019-12-16,157,64,93
2019-12-17,143,57,86
2019-12-18,131,61,70
2019-12-19,70,,70
2019-12-20,120,57,63
2019-12-21,73,,73
2019-12-22,137,57,80
2019-12-23,127,61,66
2019-12-24,70,,70
2019-12-25,131,57,74
2019-12-26,127,57,70
2019-12-27,67,,67
2019-12-28,73,,73
2019-12-29,82,,82
2019-12-30,67,,67
2019-12-31,141,57,84
2020-01-01,78,,78
2020-01-02,132,59,73
2020-01-03,132,59,73
2020-01-04,123,57,66
2020-01-05,127,57,70
2020-01-06,124,57,67
2020-01-07,122,57,65
2020-01-08,120,57,63
2020-01-09,136,57,79
2020-01-10,131,61,70
2020-01-11,65,,65
2020-01-12,67,,67
2020-01-13,61,,61
2020-01-14,63,,63
2020-01-15,128,59,69
2020-01-16,57,57,
2020-01-17,67,,67
2020-01-18,66,,66
2020-01-19,143,63,80
2020-01-20,456,155,301
2020-01-21,1377,326,1051
2020-01-22,2685,366,2319
2020-01-23,3227,298,2929
2020-01-24,1766,188,1578
2020-01-25,1723,201,1522
2020-01-26,1758,211,1547
2020-01-27,1483,220,1263
2020-01-28,1357,219,1138
2020-01-29,1287,234,1053
2020-01-30,1230,211,1019
2020-01-31,1234,240,994
2020-02-01,1226,239,987
2020-02-02,1204,251,953
2020-02-03,1248,284,964
2020-02-04,1198,257,941
2020-02-05,1198,254,944
2020-02-06,1254,318,936
2020-02-07,1281,323,958
2020-02-08,1167,225,942
2020-02-09,1197,250,947
2020-02-10,1445,454,991
2020-02-11,1282,341,941
2020-02-12,1193,279,914
2020-02-13,1252,330,922
2020-02-14,1342,354,988
2020-02-15,1249,295,954
2020-02-16,1204,284,920
2020-02-17,1124,265,859
2020-02-18,1110,282,828
2020-02-19,1071,253,818
2020-02-20,1057,211,846
2020-02-21,1005,225,780
2020-02-22,939,223,716
2020-02-23,1011,231,780
2020-02-24,897,198,699
2020-02-25,993,259,734
2020-02-26,1000,245,755
2020-02-27,927,231,696
2020-02-28,959,228,731
2020-02-29,805,175,630
2020-03-01,735,170,565
2020-03-02,849,253,596
2020-03-03,704,190,514
2020-03-04,778,242,536
2020-03-05,717,198,519
2020-03-06,624,201,423
2020-03-07,568,139,429
2020-03-08,492,116,376
2020-03-09,585,190,395
2020-03-10,583,157,426
2020-03-11,581,193,388
2020-03-12,555,165,390
2020-03-13,500,166,334
2020-03-14,463,102,361
2020-03-15,466,118,348
2020-03-16,506,183,323
2020-03-17,497,173,324
2020-03-18,467,169,298
2020-03-19,432,158,274
2020-03-20,418,144,274
2020-03-21,345,97,248
2020-03-22,350,72,278
2020-03-23,472,152,320
2020-03-24,385,121,264
2020-03-25,397,133,264
2020-03-26,411,133,278
2020-03-27,370,127,243
2020-03-28,326,74,252
2020-03-29,446,120,326
2020-03-30,413,157,256
2020-03-31,351,112,239
2020-04-01,391,114,277
