日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,65,,65
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,61,,61
2020-01-22,163,57,106
2020-01-23,225,63,162
2020-01-24,109,,109
2020-01-25,230,59,171
2020-01-26,267,59,208
2020-01-27,231,61,170
2020-01-28,202,63,139
2020-01-29,188,66,122
2020-01-30,166,61,105
2020-01-31,178,63,115
2020-02-01,112,,112
2020-02-02,195,63,132
2020-02-03,170,57,113
2020-02-04,165,59,106
2020-02-05,163,64,99
2020-02-06,169,59,110
2020-02-07,159,57,102
2020-02-08,186,61,125
2020-02-09,153,57,96
2020-02-10,170,61,109
2020-02-11,156,61,95
2020-02-12,93,,93
2020-02-13,149,57,92
2020-02-14,162,57,105
2020-02-15,139,59,80
2020-02-16,154,63,91
2020-02-17,131,57,74
2020-02-18,93,,93
2020-02-19,178,63,115
2020-02-20,179,61,118
2020-02-21,204,59,145
2020-02-22,231,66,165
2020-02-23,224,57,167
2020-02-24,211,64,147
2020-02-25,216,61,155
2020-02-26,193,63,130
2020-02-27,216,57,159
2020-02-28,179,61,118
2020-02-29,112,,112
2020-03-01,178,61,117
2020-03-02,91,,91
2020-03-03,82,,82
2020-03-04,146,57,89
2020-03-05,83,,83
2020-03-06,137,57,80
2020-03-07,80,,80
2020-03-08,84,,84
2020-03-09,84,,84
2020-03-10,135,59,76
2020-03-11,69,,69
2020-03-12,139,59,80
2020-03-13,76,,76
2020-03-14,66,,66
2020-03-15,76,,76
2020-03-16,133,57,76
2020-03-17,73,,73
2020-03-18,131,57,74
2020-03-19,120,57,63
2020-03-20,66,,66
2020-03-21,126,59,67
2020-03-22,69,,69
2020-03-23,128,57,71
2020-03-24,60,,60
2020-03-25,65,,65
2020-03-26,63,,63
2020-03-27,63,,63
2020-03-28,61,,61
2020-03-29,63,,63
2020-03-30,118,57,61
2020-03-31,115,57,58
2020-04-01,63,,63
