日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,,,
2019-12-24,,,
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,57,
2020-01-21,80,,80
2020-01-22,184,59,125
2020-01-23,272,72,200
2020-01-24,180,57,123
2020-01-25,223,64,159
2020-01-26,222,59,163
2020-01-27,219,59,160
2020-01-28,141,,141
2020-01-29,184,61,123
2020-01-30,185,63,122
2020-01-31,181,68,113
2020-02-01,205,61,144
2020-02-02,196,57,139
2020-02-03,192,61,131
2020-02-04,191,61,130
2020-02-05,112,,112
2020-02-06,203,64,139
2020-02-07,181,63,118
2020-02-08,113,,113
2020-02-09,105,,105
2020-02-10,182,64,118
2020-02-11,172,64,108
2020-02-12,104,,104
2020-02-13,151,59,92
2020-02-14,156,57,99
2020-02-15,165,57,108
2020-02-16,133,57,76
2020-02-17,162,63,99
2020-02-18,163,61,102
2020-02-19,150,61,89
2020-02-20,165,59,106
2020-02-21,168,59,109
2020-02-22,176,59,117
2020-02-23,157,57,100
2020-02-24,176,59,117
2020-02-25,194,64,130
2020-02-26,148,,148
2020-02-27,204,57,147
2020-02-28,200,57,143
2020-02-29,179,57,122
2020-03-01,153,57,96
2020-03-02,158,59,99
2020-03-03,100,,100
2020-03-04,150,59,91
2020-03-05,91,,91
2020-03-06,148,57,91
2020-03-07,78,,78
2020-03-08,74,,74
2020-03-09,135,57,78
2020-03-10,152,61,91
2020-03-11,76,,76
2020-03-12,140,57,83
2020-03-13,74,,74
2020-03-14,73,,73
2020-03-15,69,,69
2020-03-16,133,57,76
2020-03-17,128,57,71
2020-03-18,65,,65
2020-03-19,122,59,63
2020-03-20,76,,76
2020-03-21,61,,61
2020-03-22,60,,60
2020-03-23,128,57,71
2020-03-24,65,,65
2020-03-25,126,57,69
2020-03-26,66,,66
2020-03-27,122,57,65
2020-03-28,57,,57
2020-03-29,118,57,61
2020-03-30,66,,66
2020-03-31,67,,67
2020-04-01,117,57,60
