日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,60,,60
2020-01-21,136,63,73
2020-01-22,197,59,138
2020-01-23,274,68,206
2020-01-24,226,59,167
2020-01-25,217,66,151
2020-01-26,240,63,177
2020-01-27,217,68,149
2020-01-28,177,64,113
2020-01-29,187,64,123
2020-01-30,179,66,113
2020-01-31,189,66,123
2020-02-01,196,66,130
2020-02-02,154,57,97
2020-02-03,175,66,109
2020-02-04,165,61,104
2020-02-05,159,59,100
2020-02-06,167,61,106
2020-02-07,185,63,122
2020-02-08,157,57,100
2020-02-09,162,57,105
2020-02-10,157,61,96
2020-02-11,150,59,91
2020-02-12,148,57,91
2020-02-13,157,66,91
2020-02-14,150,57,93
2020-02-15,153,57,96
2020-02-16,176,59,117
2020-02-17,106,,106
2020-02-18,169,64,105
2020-02-19,155,59,96
2020-02-20,176,59,117
2020-02-21,140,57,83
2020-02-22,187,57,130
2020-02-23,171,61,110
2020-02-24,184,61,123
2020-02-25,173,61,112
2020-02-26,191,61,130
2020-02-27,178,57,121
2020-02-28,170,61,109
2020-02-29,89,,89
2020-03-01,141,57,84
2020-03-02,154,61,93
2020-03-03,146,57,89
2020-03-04,133,63,70
2020-03-05,142,63,79
2020-03-06,139,66,73
2020-03-07,128,57,71
2020-03-08,143,59,84
2020-03-09,128,57,71
2020-03-10,73,,73
2020-03-11,76,,76
2020-03-12,130,59,71
2020-03-13,76,,76
2020-03-14,69,,69
2020-03-15,130,57,73
2020-03-16,123,57,66
2020-03-17,115,57,58
2020-03-18,67,,67
2020-03-19,67,,67
2020-03-20,61,,61
2020-03-21,61,,61
2020-03-22,63,,63
2020-03-23,66,,66
2020-03-24,61,,61
2020-03-25,66,,66
2020-03-26,119,59,60
2020-03-27,119,59,60
2020-03-28,65,,65
2020-03-29,69,,69
2020-03-30,60,,60
2020-03-31,118,57,61
2020-04-01,65,,65
