日期,全部,pc,移动
2019-12-01,109,,109
2019-12-02,169,70,99
2019-12-03,169,57,112
2019-12-04,174,66,108
2019-12-05,173,61,112
2019-12-06,169,76,93
2019-12-07,166,61,105
2019-12-08,169,63,106
2019-12-09,163,68,95
2019-12-10,155,59,96
2019-12-11,144,61,83
2019-12-12,157,57,100
2019-12-13,138,59,79
2019-12-14,137,57,80
2019-12-15,154,59,95
2019-12-16,143,59,84
2019-12-17,156,70,86
2019-12-18,137,59,78
2019-12-19,150,63,87
2019-12-20,152,59,93
2019-12-21,147,63,84
2019-12-22,154,59,95
2019-12-23,148,61,87
2019-12-24,140,57,83
2019-12-25,143,61,82
2019-12-26,154,57,97
2019-12-27,96,,96
2019-12-28,150,59,91
2019-12-29,109,,109
2019-12-30,146,59,87
2019-12-31,170,61,109
2020-01-01,93,,93
2020-01-02,168,66,102
2020-01-03,142,63,79
2020-01-04,139,63,76
2020-01-05,148,59,89
2020-01-06,133,59,74
2020-01-07,143,59,84
2020-01-08,148,57,91
2020-01-09,157,66,91
2020-01-10,142,63,79
2020-01-11,127,57,70
2020-01-12,128,57,71
2020-01-13,137,61,76
2020-01-14,143,59,84
2020-01-15,132,59,73
2020-01-16,114,57,57
2020-01-17,141,63,78
2020-01-18,150,63,87
2020-01-19,172,64,108
2020-01-20,564,201,363
2020-01-21,2023,670,1353
2020-01-22,4434,881,3553
2020-01-23,6392,903,5489
2020-01-24,3487,636,2851
2020-01-25,3760,619,3141
2020-01-26,3578,676,2902
2020-01-27,3128,637,2491
2020-01-28,3058,699,2359
2020-01-29,2795,627,2168
2020-01-30,2899,738,2161
2020-01-31,3112,796,2316
2020-02-01,2864,751,2113
2020-02-02,2888,766,2122
2020-02-03,2971,851,2120
2020-02-04,2843,846,1997
2020-02-05,2972,797,2175
2020-02-06,3092,854,2238
2020-02-07,2787,827,1960
2020-02-08,2515,578,1937
2020-02-09,2296,592,1704
2020-02-10,2548,859,1689
2020-02-11,2321,823,1498
2020-02-12,2359,754,1605
2020-02-13,2434,820,1614
2020-02-14,2316,765,1551
2020-02-15,1977,575,1402
2020-02-16,1668,440,1228
2020-02-17,1794,670,1124
2020-02-18,1731,633,1098
2020-02-19,1650,606,1044
2020-02-20,1594,595,999
2020-02-21,1648,547,1101
2020-02-22,1376,389,987
2020-02-23,1314,319,995
2020-02-24,1586,597,989
2020-02-25,1543,540,1003
2020-02-26,1666,606,1060
2020-02-27,1638,640,998
2020-02-28,1652,599,1053
2020-02-29,1451,459,992
2020-03-01,1386,397,989
2020-03-02,1603,637,966
2020-03-03,1445,492,953
2020-03-04,1515,591,924
2020-03-05,1399,487,912
2020-03-06,1446,554,892
2020-03-07,1211,326,885
2020-03-08,1153,304,849
2020-03-09,1318,459,859
2020-03-10,1340,467,873
2020-03-11,1325,464,861
2020-03-12,1287,439,848
2020-03-13,1264,419,845
2020-03-14,1174,323,851
2020-03-15,1026,247,779
2020-03-16,1229,445,784
2020-03-17,1291,470,821
2020-03-18,1315,499,816
2020-03-19,1168,381,787
2020-03-20,1072,367,705
2020-03-21,862,213,649
2020-03-22,785,95,690
2020-03-23,1095,355,740
2020-03-24,930,231,699
2020-03-25,1037,346,691
2020-03-26,1018,305,713
2020-03-27,946,279,667
2020-03-28,880,184,696
2020-03-29,884,187,697
2020-03-30,993,344,649
2020-03-31,979,305,674
2020-04-01,932,281,651
