日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,61,61,
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,61,,61
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,59,59,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,155,66,89
2020-01-22,288,80,208
2020-01-23,436,106,330
2020-01-24,339,70,269
2020-01-25,393,97,296
2020-01-26,360,112,248
2020-01-27,303,97,206
2020-01-28,321,106,215
2020-01-29,282,83,199
2020-01-30,281,89,192
2020-01-31,296,95,201
2020-02-01,305,101,204
2020-02-02,295,95,200
2020-02-03,325,116,209
2020-02-04,278,93,185
2020-02-05,253,83,170
2020-02-06,304,99,205
2020-02-07,274,78,196
2020-02-08,250,80,170
2020-02-09,227,70,157
2020-02-10,228,74,154
2020-02-11,212,80,132
2020-02-12,208,76,132
2020-02-13,223,87,136
2020-02-14,204,72,132
2020-02-15,214,63,151
2020-02-16,188,63,125
2020-02-17,198,76,122
2020-02-18,168,63,105
2020-02-19,182,72,110
2020-02-20,174,70,104
2020-02-21,159,59,100
2020-02-22,146,63,83
2020-02-23,157,57,100
2020-02-24,152,66,86
2020-02-25,168,59,109
2020-02-26,162,63,99
2020-02-27,187,78,109
2020-02-28,194,68,126
2020-02-29,158,66,92
2020-03-01,145,61,84
2020-03-02,173,74,99
2020-03-03,161,70,91
2020-03-04,158,61,97
2020-03-05,156,64,92
2020-03-06,163,80,83
2020-03-07,195,82,113
2020-03-08,161,66,95
2020-03-09,157,66,91
2020-03-10,166,70,96
2020-03-11,152,74,78
2020-03-12,139,66,73
2020-03-13,133,64,69
2020-03-14,141,57,84
2020-03-15,133,64,69
2020-03-16,144,64,80
2020-03-17,143,63,80
2020-03-18,138,59,79
2020-03-19,144,61,83
2020-03-20,143,63,80
2020-03-21,137,59,78
2020-03-22,87,,87
2020-03-23,139,59,80
2020-03-24,78,,78
2020-03-25,134,61,73
2020-03-26,127,61,66
2020-03-27,128,57,71
2020-03-28,124,57,67
2020-03-29,69,,69
2020-03-30,123,57,66
2020-03-31,126,57,69
2020-04-01,139,63,76
