日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,63,,63
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,59,59,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,59,59,
2020-01-04,57,57,
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,114,57,57
2020-01-19,57,57,
2020-01-20,69,,69
2020-01-21,194,68,126
2020-01-22,337,99,238
2020-01-23,511,116,395
2020-01-24,309,85,224
2020-01-25,397,106,291
2020-01-26,404,95,309
2020-01-27,348,101,247
2020-01-28,311,82,229
2020-01-29,265,68,197
2020-01-30,308,108,200
2020-01-31,342,99,243
2020-02-01,291,101,190
2020-02-02,279,87,192
2020-02-03,297,108,189
2020-02-04,272,85,187
2020-02-05,266,83,183
2020-02-06,298,101,197
2020-02-07,259,78,181
2020-02-08,274,76,198
2020-02-09,240,66,174
2020-02-10,267,93,174
2020-02-11,250,82,168
2020-02-12,221,80,141
2020-02-13,227,72,155
2020-02-14,239,80,159
2020-02-15,214,66,148
2020-02-16,182,57,125
2020-02-17,213,70,143
2020-02-18,206,72,134
2020-02-19,208,83,125
2020-02-20,181,59,122
2020-02-21,237,82,155
2020-02-22,184,61,123
2020-02-23,197,63,134
2020-02-24,193,76,117
2020-02-25,191,63,128
2020-02-26,198,68,130
2020-02-27,175,70,105
2020-02-28,186,76,110
2020-02-29,181,64,117
2020-03-01,192,61,131
2020-03-02,167,63,104
2020-03-03,167,63,104
2020-03-04,163,68,95
2020-03-05,166,64,102
2020-03-06,160,68,92
2020-03-07,150,63,87
2020-03-08,154,68,86
2020-03-09,143,64,79
2020-03-10,152,59,93
2020-03-11,151,68,83
2020-03-12,150,68,82
2020-03-13,151,64,87
2020-03-14,143,64,79
2020-03-15,137,63,74
2020-03-16,134,61,73
2020-03-17,142,59,83
2020-03-18,160,74,86
2020-03-19,145,59,86
2020-03-20,120,57,63
2020-03-21,130,57,73
2020-03-22,123,57,66
2020-03-23,131,57,74
2020-03-24,76,,76
2020-03-25,132,59,73
2020-03-26,128,57,71
2020-03-27,73,,73
2020-03-28,128,57,71
2020-03-29,76,,76
2020-03-30,126,57,69
2020-03-31,71,,71
2020-04-01,128,61,67
