日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,57,,57
2019-12-03,57,,57
2019-12-04,57,57,
2019-12-05,58,,58
2019-12-06,,,
2019-12-07,58,,58
2019-12-08,57,57,
2019-12-09,57,,57
2019-12-10,57,,57
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,60,,60
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,60,,60
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,58,,58
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,145,66,79
2020-01-21,262,70,192
2020-01-22,528,102,426
2020-01-23,837,146,691
2020-01-24,526,114,412
2020-01-25,594,95,499
2020-01-26,497,106,391
2020-01-27,489,108,381
2020-01-28,450,104,346
2020-01-29,415,99,316
2020-01-30,475,123,352
2020-01-31,473,121,352
2020-02-01,463,110,353
2020-02-02,491,110,381
2020-02-03,476,120,356
2020-02-04,447,121,326
2020-02-05,494,106,388
2020-02-06,566,118,448
2020-02-07,469,118,351
2020-02-08,440,93,347
2020-02-09,389,80,309
2020-02-10,416,110,306
2020-02-11,356,95,261
2020-02-12,366,89,277
2020-02-13,363,95,268
2020-02-14,330,91,239
2020-02-15,330,95,235
2020-02-16,331,102,229
2020-02-17,302,97,205
2020-02-18,312,97,215
2020-02-19,261,72,189
2020-02-20,278,91,187
2020-02-21,270,80,190
2020-02-22,268,89,179
2020-02-23,249,85,164
2020-02-24,248,78,170
2020-02-25,252,72,180
2020-02-26,293,101,192
2020-02-27,276,87,189
2020-02-28,262,78,184
2020-02-29,246,72,174
2020-03-01,243,78,165
2020-03-02,257,83,174
2020-03-03,255,91,164
2020-03-04,248,78,170
2020-03-05,225,76,149
2020-03-06,231,80,151
2020-03-07,197,74,123
2020-03-08,217,70,147
2020-03-09,217,76,141
2020-03-10,226,74,152
2020-03-11,208,70,138
2020-03-12,180,72,108
2020-03-13,200,83,117
2020-03-14,209,68,141
2020-03-15,179,70,109
2020-03-16,173,68,105
2020-03-17,176,72,104
2020-03-18,182,70,112
2020-03-19,165,68,97
2020-03-20,182,82,100
2020-03-21,178,68,110
2020-03-22,99,,99
2020-03-23,180,68,112
2020-03-24,171,61,110
2020-03-25,166,74,92
2020-03-26,161,70,91
2020-03-27,168,76,92
2020-03-28,160,63,97
2020-03-29,168,68,100
2020-03-30,170,83,87
2020-03-31,170,68,102
2020-04-01,160,64,96
