日期,全部,pc,移动
2019-12-01,67,,67
2019-12-02,122,57,65
2019-12-03,120,57,63
2019-12-04,136,63,73
2019-12-05,128,57,71
2019-12-06,132,66,66
2019-12-07,67,,67
2019-12-08,124,57,67
2019-12-09,61,,61
2019-12-10,63,,63
2019-12-11,118,61,57
2019-12-12,124,57,67
2019-12-13,120,57,63
2019-12-14,60,,60
2019-12-15,118,57,61
2019-12-16,120,57,63
2019-12-17,118,57,61
2019-12-18,117,57,60
2019-12-19,118,57,61
2019-12-20,63,,63
2019-12-21,115,57,58
2019-12-22,61,,61
2019-12-23,119,59,60
2019-12-24,57,,57
2019-12-25,63,,63
2019-12-26,66,,66
2019-12-27,60,,60
2019-12-28,115,57,58
2019-12-29,67,,67
2019-12-30,118,57,61
2019-12-31,126,57,69
2020-01-01,61,,61
2020-01-02,67,,67
2020-01-03,60,,60
2020-01-04,115,57,58
2020-01-05,65,,65
2020-01-06,57,,57
2020-01-07,118,57,61
2020-01-08,60,,60
2020-01-09,126,57,69
2020-01-10,117,57,60
2020-01-11,58,,58
2020-01-12,115,57,58
2020-01-13,118,57,61
2020-01-14,122,57,65
2020-01-15,58,,58
2020-01-16,,,
2020-01-17,120,59,61
2020-01-18,125,59,66
2020-01-19,126,57,69
2020-01-20,278,118,160
2020-01-21,910,234,676
2020-01-22,1507,372,1135
2020-01-23,1900,352,1548
2020-01-24,1179,229,950
2020-01-25,1179,218,961
2020-01-26,1159,219,940
2020-01-27,1082,187,895
2020-01-28,1142,251,891
2020-01-29,1121,250,871
2020-01-30,1083,220,863
2020-01-31,1131,253,878
2020-02-01,1116,248,868
2020-02-02,1132,268,864
2020-02-03,1155,295,860
2020-02-04,1163,295,868
2020-02-05,1169,307,862
2020-02-06,1135,278,857
2020-02-07,1137,285,852
2020-02-08,1056,207,849
2020-02-09,951,201,750
2020-02-10,1039,284,755
2020-02-11,957,254,703
2020-02-12,854,222,632
2020-02-13,925,259,666
2020-02-14,946,259,687
2020-02-15,840,209,631
2020-02-16,675,183,492
2020-02-17,730,247,483
2020-02-18,735,239,496
2020-02-19,716,225,491
2020-02-20,654,179,475
2020-02-21,724,207,517
2020-02-22,600,148,452
2020-02-23,595,144,451
2020-02-24,702,219,483
2020-02-25,666,204,462
2020-02-26,716,212,504
2020-02-27,743,222,521
2020-02-28,721,200,521
2020-02-29,667,157,510
2020-03-01,674,146,528
2020-03-02,683,212,471
2020-03-03,611,182,429
2020-03-04,599,209,390
2020-03-05,581,193,388
2020-03-06,480,175,305
2020-03-07,436,110,326
2020-03-08,371,112,259
2020-03-09,456,169,287
2020-03-10,485,170,315
2020-03-11,485,184,301
2020-03-12,423,155,268
2020-03-13,442,154,288
2020-03-14,367,118,249
2020-03-15,336,93,243
2020-03-16,423,162,261
2020-03-17,428,161,267
2020-03-18,417,172,245
2020-03-19,419,166,253
2020-03-20,348,142,206
2020-03-21,297,95,202
2020-03-22,290,70,220
2020-03-23,405,151,254
2020-03-24,323,102,221
2020-03-25,361,144,217
2020-03-26,363,131,232
2020-03-27,304,99,205
2020-03-28,304,83,221
2020-03-29,298,87,211
2020-03-30,332,123,209
2020-03-31,333,135,198
2020-04-01,301,95,206
