日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,57,57,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,114,57,57
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,119,59,60
2020-01-21,176,72,104
2020-01-22,268,78,190
2020-01-23,364,87,277
2020-01-24,290,85,205
2020-01-25,310,68,242
2020-01-26,372,85,287
2020-01-27,353,101,252
2020-01-28,309,95,214
2020-01-29,305,83,222
2020-01-30,288,99,189
2020-01-31,274,97,177
2020-02-01,272,91,181
2020-02-02,293,91,202
2020-02-03,293,101,192
2020-02-04,279,93,186
2020-02-05,325,110,215
2020-02-06,330,99,231
2020-02-07,298,99,199
2020-02-08,283,87,196
2020-02-09,250,80,170
2020-02-10,275,85,190
2020-02-11,257,93,164
2020-02-12,243,80,163
2020-02-13,252,89,163
2020-02-14,231,76,155
2020-02-15,246,66,180
2020-02-16,230,66,164
2020-02-17,208,78,130
2020-02-18,207,76,131
2020-02-19,185,72,113
2020-02-20,193,68,125
2020-02-21,212,76,136
2020-02-22,178,66,112
2020-02-23,176,61,115
2020-02-24,181,66,115
2020-02-25,169,70,99
2020-02-26,180,70,110
2020-02-27,180,68,112
2020-02-28,174,66,108
2020-02-29,179,66,113
2020-03-01,206,72,134
2020-03-02,165,66,99
2020-03-03,156,61,95
2020-03-04,184,80,104
2020-03-05,162,63,99
2020-03-06,172,68,104
2020-03-07,157,61,96
2020-03-08,148,59,89
2020-03-09,159,68,91
2020-03-10,155,64,91
2020-03-11,135,64,71
2020-03-12,163,63,100
2020-03-13,150,63,87
2020-03-14,171,66,105
2020-03-15,163,63,100
2020-03-16,135,61,74
2020-03-17,133,59,74
2020-03-18,162,70,92
2020-03-19,134,64,70
2020-03-20,148,68,80
2020-03-21,145,61,84
2020-03-22,78,,78
2020-03-23,132,66,66
2020-03-24,70,,70
2020-03-25,124,57,67
2020-03-26,152,57,95
2020-03-27,140,57,83
2020-03-28,130,57,73
2020-03-29,135,64,71
2020-03-30,127,57,70
2020-03-31,131,57,74
2020-04-01,135,59,76
