日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,57,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,137,63,74
2020-01-22,167,61,106
2020-01-23,225,68,157
2020-01-24,170,61,109
2020-01-25,202,61,141
2020-01-26,213,61,152
2020-01-27,232,64,168
2020-01-28,247,76,171
2020-01-29,206,63,143
2020-01-30,161,59,102
2020-01-31,243,76,167
2020-02-01,206,70,136
2020-02-02,200,64,136
2020-02-03,192,70,122
2020-02-04,184,61,123
2020-02-05,189,68,121
2020-02-06,187,59,128
2020-02-07,162,57,105
2020-02-08,161,59,102
2020-02-09,194,68,126
2020-02-10,177,78,99
2020-02-11,166,64,102
2020-02-12,95,,95
2020-02-13,168,64,104
2020-02-14,161,59,102
2020-02-15,140,57,83
2020-02-16,148,59,89
2020-02-17,160,61,99
2020-02-18,149,70,79
2020-02-19,80,,80
2020-02-20,79,,79
2020-02-21,157,57,100
2020-02-22,159,63,96
2020-02-23,137,57,80
2020-02-24,138,59,79
2020-02-25,148,59,89
2020-02-26,161,59,102
2020-02-27,154,59,95
2020-02-28,160,63,97
2020-02-29,144,61,83
2020-03-01,86,,86
2020-03-02,149,57,92
2020-03-03,163,68,95
2020-03-04,148,61,87
2020-03-05,154,59,95
2020-03-06,78,,78
2020-03-07,137,57,80
2020-03-08,137,63,74
2020-03-09,78,,78
2020-03-10,130,61,69
2020-03-11,127,57,70
2020-03-12,133,59,74
2020-03-13,78,,78
2020-03-14,139,61,78
2020-03-15,124,57,67
2020-03-16,127,57,70
2020-03-17,122,57,65
2020-03-18,123,57,66
2020-03-19,117,57,60
2020-03-20,118,57,61
2020-03-21,114,57,57
2020-03-22,61,,61
2020-03-23,124,61,63
2020-03-24,60,,60
2020-03-25,57,,57
2020-03-26,57,,57
2020-03-27,63,,63
2020-03-28,63,,63
2020-03-29,63,,63
2020-03-30,117,57,60
2020-03-31,65,,65
2020-04-01,60,,60
