日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,58,,58
2019-12-04,57,,57
2019-12-05,57,,57
2019-12-06,57,,57
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,58,,58
2019-12-10,60,,60
2019-12-11,,,
2019-12-12,60,,60
2019-12-13,57,,57
2019-12-14,60,,60
2019-12-15,60,,60
2019-12-16,58,,58
2019-12-17,57,,57
2019-12-18,115,57,58
2019-12-19,61,,61
2019-12-20,58,,58
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,63,,63
2019-12-28,,,
2019-12-29,61,,61
2019-12-30,60,,60
2019-12-31,57,57,
2020-01-01,57,,57
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,58,,58
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,58,,58
2020-01-19,57,,57
2020-01-20,123,57,66
2020-01-21,326,64,262
2020-01-22,633,95,538
2020-01-23,909,80,829
2020-01-24,507,66,441
2020-01-25,656,74,582
2020-01-26,929,78,851
2020-01-27,818,74,744
2020-01-28,781,87,694
2020-01-29,572,78,494
2020-01-30,568,72,496
2020-01-31,633,89,544
2020-02-01,609,80,529
2020-02-02,535,85,450
2020-02-03,512,78,434
2020-02-04,453,83,370
2020-02-05,428,74,354
2020-02-06,464,76,388
2020-02-07,386,72,314
2020-02-08,366,74,292
2020-02-09,366,74,292
2020-02-10,420,89,331
2020-02-11,384,70,314
2020-02-12,355,70,285
2020-02-13,324,63,261
2020-02-14,375,70,305
2020-02-15,372,72,300
2020-02-16,288,66,222
2020-02-17,354,66,288
2020-02-18,317,68,249
2020-02-19,368,76,292
2020-02-20,405,82,323
2020-02-21,441,74,367
2020-02-22,412,74,338
2020-02-23,397,63,334
2020-02-24,439,74,365
2020-02-25,382,82,300
2020-02-26,390,82,308
2020-02-27,345,68,277
2020-02-28,328,64,264
2020-02-29,336,72,264
2020-03-01,301,59,242
2020-03-02,315,66,249
2020-03-03,290,63,227
2020-03-04,269,63,206
2020-03-05,272,61,211
2020-03-06,275,64,211
2020-03-07,276,72,204
2020-03-08,236,59,177
2020-03-09,246,66,180
2020-03-10,261,74,187
2020-03-11,255,63,192
2020-03-12,235,70,165
2020-03-13,248,59,189
2020-03-14,240,61,179
2020-03-15,235,59,176
2020-03-16,222,68,154
2020-03-17,201,63,138
2020-03-18,214,63,151
2020-03-19,172,57,115
2020-03-20,198,70,128
2020-03-21,187,59,128
2020-03-22,122,,122
2020-03-23,183,66,117
2020-03-24,171,59,112
2020-03-25,151,64,87
2020-03-26,97,,97
2020-03-27,162,57,105
2020-03-28,113,,113
2020-03-29,108,,108
2020-03-30,171,66,105
2020-03-31,117,,117
2020-04-01,156,59,97
