日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,58,,58
2019-12-12,,,
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,114,57,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,115,57,58
2020-01-21,199,61,138
2020-01-22,316,63,253
2020-01-23,424,80,344
2020-01-24,277,63,214
2020-01-25,283,66,217
2020-01-26,415,63,352
2020-01-27,412,78,334
2020-01-28,402,82,320
2020-01-29,339,80,259
2020-01-30,314,78,236
2020-01-31,325,72,253
2020-02-01,296,72,224
2020-02-02,296,76,220
2020-02-03,287,68,219
2020-02-04,249,63,186
2020-02-05,231,63,168
2020-02-06,269,70,199
2020-02-07,246,68,178
2020-02-08,239,57,182
2020-02-09,224,59,165
2020-02-10,242,63,179
2020-02-11,220,66,154
2020-02-12,224,63,161
2020-02-13,215,66,149
2020-02-14,209,61,148
2020-02-15,176,59,117
2020-02-16,178,63,115
2020-02-17,209,61,148
2020-02-18,191,59,132
2020-02-19,131,,131
2020-02-20,216,61,155
2020-02-21,211,63,148
2020-02-22,179,57,122
2020-02-23,202,61,141
2020-02-24,209,57,152
2020-02-25,197,61,136
2020-02-26,186,61,125
2020-02-27,176,68,108
2020-02-28,181,59,122
2020-02-29,186,63,123
2020-03-01,194,59,135
2020-03-02,182,63,119
2020-03-03,184,59,125
2020-03-04,169,57,112
2020-03-05,183,61,122
2020-03-06,184,63,121
2020-03-07,169,59,110
2020-03-08,165,57,108
2020-03-09,170,66,104
2020-03-10,167,59,108
2020-03-11,105,,105
2020-03-12,180,57,123
2020-03-13,161,57,104
2020-03-14,157,57,100
2020-03-15,104,,104
2020-03-16,156,57,99
2020-03-17,143,63,80
2020-03-18,146,57,89
2020-03-19,129,59,70
2020-03-20,140,61,79
2020-03-21,69,,69
2020-03-22,89,,89
2020-03-23,74,,74
2020-03-24,126,57,69
2020-03-25,126,63,63
2020-03-26,130,61,69
2020-03-27,126,57,69
2020-03-28,79,,79
2020-03-29,67,,67
2020-03-30,142,66,76
2020-03-31,79,,79
2020-04-01,140,57,83
