日期,全部,pc,移动
2019-12-01,154,59,95
2019-12-02,167,57,110
2019-12-03,162,63,99
2019-12-04,157,66,91
2019-12-05,108,,108
2019-12-06,165,63,102
2019-12-07,97,,97
2019-12-08,166,57,109
2019-12-09,172,63,109
2019-12-10,178,63,115
2019-12-11,146,64,82
2019-12-12,139,57,82
2019-12-13,82,,82
2019-12-14,147,64,83
2019-12-15,150,57,93
2019-12-16,143,59,84
2019-12-17,174,61,113
2019-12-18,155,59,96
2019-12-19,144,57,87
2019-12-20,135,59,76
2019-12-21,92,,92
2019-12-22,141,61,80
2019-12-23,150,61,89
2019-12-24,152,59,93
2019-12-25,158,63,95
2019-12-26,87,,87
2019-12-27,135,57,78
2019-12-28,140,57,83
2019-12-29,92,,92
2019-12-30,136,57,79
2019-12-31,131,57,74
2020-01-01,156,57,99
2020-01-02,150,59,91
2020-01-03,150,59,91
2020-01-04,83,,83
2020-01-05,78,,78
2020-01-06,144,57,87
2020-01-07,147,64,83
2020-01-08,128,57,71
2020-01-09,130,57,73
2020-01-10,144,64,80
2020-01-11,78,,78
2020-01-12,80,,80
2020-01-13,91,,91
2020-01-14,124,57,67
2020-01-15,140,61,79
2020-01-16,133,59,74
2020-01-17,137,63,74
2020-01-18,137,57,80
2020-01-19,145,59,86
2020-01-20,345,95,250
2020-01-21,1481,347,1134
2020-01-22,3352,467,2885
2020-01-23,4385,566,3819
2020-01-24,2029,315,1714
2020-01-25,4012,437,3575
2020-01-26,4180,560,3620
2020-01-27,3594,544,3050
2020-01-28,2972,507,2465
2020-01-29,2584,462,2122
2020-01-30,2319,473,1846
2020-01-31,2634,560,2074
2020-02-01,2441,540,1901
2020-02-02,2269,512,1757
2020-02-03,2244,533,1711
2020-02-04,2060,490,1570
2020-02-05,2051,476,1575
2020-02-06,2271,492,1779
2020-02-07,2273,532,1741
2020-02-08,2195,425,1770
2020-02-09,2264,467,1797
2020-02-10,2174,521,1653
2020-02-11,2023,507,1516
2020-02-12,1909,484,1425
2020-02-13,1877,409,1468
2020-02-14,1774,411,1363
2020-02-15,1539,343,1196
2020-02-16,1354,298,1056
2020-02-17,1528,402,1126
2020-02-18,1470,360,1110
2020-02-19,1431,364,1067
2020-02-20,1401,332,1069
2020-02-21,1358,324,1034
2020-02-22,1196,231,965
2020-02-23,1195,234,961
2020-02-24,1283,302,981
2020-02-25,1425,385,1040
2020-02-26,1446,340,1106
2020-02-27,1429,318,1111
2020-02-28,1412,332,1080
2020-02-29,1279,265,1014
2020-03-01,1167,220,947
2020-03-02,1372,395,977
2020-03-03,1238,273,965
2020-03-04,1265,332,933
2020-03-05,1215,288,927
2020-03-06,1210,313,897
2020-03-07,1074,191,883
2020-03-08,1012,157,855
2020-03-09,1155,271,884
2020-03-10,1126,251,875
2020-03-11,1068,223,845
2020-03-12,1054,212,842
2020-03-13,970,205,765
2020-03-14,867,148,719
2020-03-15,859,154,705
2020-03-16,952,212,740
2020-03-17,904,220,684
2020-03-18,895,231,664
2020-03-19,846,172,674
2020-03-20,715,184,531
2020-03-21,694,120,574
2020-03-22,569,66,503
2020-03-23,687,182,505
2020-03-24,647,142,505
2020-03-25,712,179,533
2020-03-26,672,169,503
2020-03-27,614,152,462
2020-03-28,532,95,437
2020-03-29,599,116,483
2020-03-30,697,193,504
2020-03-31,641,165,476
2020-04-01,680,168,512
