日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,57,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,114,57,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,114,57,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,152,59,93
2020-01-22,249,72,177
2020-01-23,289,72,217
2020-01-24,212,68,144
2020-01-25,339,78,261
2020-01-26,355,74,281
2020-01-27,355,78,277
2020-01-28,298,83,215
2020-01-29,291,80,211
2020-01-30,236,68,168
2020-01-31,242,68,174
2020-02-01,238,64,174
2020-02-02,235,80,155
2020-02-03,244,66,178
2020-02-04,226,61,165
2020-02-05,241,76,165
2020-02-06,255,68,187
2020-02-07,231,72,159
2020-02-08,216,72,144
2020-02-09,230,66,164
2020-02-10,229,82,147
2020-02-11,197,66,131
2020-02-12,207,64,143
2020-02-13,229,61,168
2020-02-14,207,64,143
2020-02-15,186,61,125
2020-02-16,185,66,119
2020-02-17,184,63,121
2020-02-18,202,59,143
2020-02-19,241,83,158
2020-02-20,204,59,145
2020-02-21,224,64,160
2020-02-22,163,63,100
2020-02-23,167,57,110
2020-02-24,183,64,119
2020-02-25,194,76,118
2020-02-26,214,63,151
2020-02-27,179,61,118
2020-02-28,174,64,110
2020-02-29,198,64,134
2020-03-01,171,59,112
2020-03-02,182,70,112
2020-03-03,200,68,132
2020-03-04,217,76,141
2020-03-05,185,70,115
2020-03-06,159,64,95
2020-03-07,95,,95
2020-03-08,147,61,86
2020-03-09,150,64,86
2020-03-10,147,63,84
2020-03-11,147,74,73
2020-03-12,158,66,92
2020-03-13,139,63,76
2020-03-14,128,57,71
2020-03-15,133,59,74
2020-03-16,79,,79
2020-03-17,135,59,76
2020-03-18,127,61,66
2020-03-19,130,63,67
2020-03-20,124,59,65
2020-03-21,139,61,78
2020-03-22,133,59,74
2020-03-23,136,66,70
2020-03-24,130,61,69
2020-03-25,129,59,70
2020-03-26,136,63,73
2020-03-27,65,,65
2020-03-28,128,59,69
2020-03-29,80,,80
2020-03-30,137,61,76
2020-03-31,139,72,67
2020-04-01,124,57,67
