日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,,,
2019-12-09,58,,58
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,61,,61
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,57,,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,57,
2020-01-17,59,59,
2020-01-18,,,
2020-01-19,58,,58
2020-01-20,63,,63
2020-01-21,173,68,105
2020-01-22,274,76,198
2020-01-23,353,91,262
2020-01-24,225,61,164
2020-01-25,296,72,224
2020-01-26,333,85,248
2020-01-27,339,93,246
2020-01-28,273,80,193
2020-01-29,265,82,183
2020-01-30,273,83,190
2020-01-31,286,83,203
2020-02-01,269,74,195
2020-02-02,244,76,168
2020-02-03,243,76,167
2020-02-04,236,76,160
2020-02-05,255,89,166
2020-02-06,235,80,155
2020-02-07,254,80,174
2020-02-08,234,87,147
2020-02-09,231,83,148
2020-02-10,240,78,162
2020-02-11,195,70,125
2020-02-12,223,80,143
2020-02-13,217,63,154
2020-02-14,227,63,164
2020-02-15,215,66,149
2020-02-16,196,64,132
2020-02-17,173,64,109
2020-02-18,184,63,121
2020-02-19,186,61,125
2020-02-20,191,59,132
2020-02-21,193,74,119
2020-02-22,189,68,121
2020-02-23,172,57,115
2020-02-24,170,61,109
2020-02-25,203,78,125
2020-02-26,185,64,121
2020-02-27,189,61,128
2020-02-28,189,74,115
2020-02-29,180,63,117
2020-03-01,185,66,119
2020-03-02,170,66,104
2020-03-03,152,57,95
2020-03-04,148,64,84
2020-03-05,158,61,97
2020-03-06,143,59,84
2020-03-07,151,64,87
2020-03-08,74,,74
2020-03-09,139,59,80
2020-03-10,135,59,76
2020-03-11,89,,89
2020-03-12,133,57,76
2020-03-13,130,59,71
2020-03-14,78,,78
2020-03-15,124,61,63
2020-03-16,86,,86
2020-03-17,124,61,63
2020-03-18,144,61,83
2020-03-19,126,57,69
2020-03-20,124,57,67
2020-03-21,65,,65
2020-03-22,66,,66
2020-03-23,130,57,73
2020-03-24,123,57,66
2020-03-25,124,61,63
2020-03-26,131,61,70
2020-03-27,123,57,66
2020-03-28,126,59,67
2020-03-29,67,,67
2020-03-30,124,59,65
2020-03-31,135,59,76
2020-04-01,124,57,67
