日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,57,57,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,59,59,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,57,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,135,59,76
2020-01-22,249,72,177
2020-01-23,271,72,199
2020-01-24,175,63,112
2020-01-25,282,78,204
2020-01-26,293,66,227
2020-01-27,278,89,189
2020-01-28,243,70,173
2020-01-29,227,76,151
2020-01-30,221,80,141
2020-01-31,223,68,155
2020-02-01,217,66,151
2020-02-02,231,66,165
2020-02-03,194,72,122
2020-02-04,226,82,144
2020-02-05,202,80,122
2020-02-06,208,70,138
2020-02-07,218,80,138
2020-02-08,212,74,138
2020-02-09,218,70,148
2020-02-10,183,66,117
2020-02-11,178,66,112
2020-02-12,181,72,109
2020-02-13,164,64,100
2020-02-14,176,68,108
2020-02-15,174,61,113
2020-02-16,187,61,126
2020-02-17,159,72,87
2020-02-18,158,59,99
2020-02-19,163,63,100
2020-02-20,172,64,108
2020-02-21,196,70,126
2020-02-22,176,59,117
2020-02-23,185,72,113
2020-02-24,180,61,119
2020-02-25,176,68,108
2020-02-26,194,66,128
2020-02-27,204,74,130
2020-02-28,227,76,151
2020-02-29,203,68,135
2020-03-01,163,64,99
2020-03-02,147,61,86
2020-03-03,152,66,86
2020-03-04,146,57,89
2020-03-05,152,63,89
2020-03-06,161,70,91
2020-03-07,136,63,73
2020-03-08,148,64,84
2020-03-09,146,66,80
2020-03-10,145,61,84
2020-03-11,137,64,73
2020-03-12,146,59,87
2020-03-13,134,63,71
2020-03-14,70,,70
2020-03-15,141,57,84
2020-03-16,142,66,76
2020-03-17,129,59,70
2020-03-18,127,57,70
2020-03-19,140,61,79
2020-03-20,121,61,60
2020-03-21,63,,63
2020-03-22,79,,79
2020-03-23,124,64,60
2020-03-24,67,,67
2020-03-25,132,59,73
2020-03-26,73,,73
2020-03-27,58,,58
2020-03-28,61,,61
2020-03-29,66,,66
2020-03-30,71,,71
2020-03-31,126,59,67
2020-04-01,70,,70
