日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,63,,63
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,57,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,57,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,57,,57
2020-01-20,118,57,61
2020-01-21,163,59,104
2020-01-22,256,80,176
2020-01-23,359,72,287
2020-01-24,218,66,152
2020-01-25,299,68,231
2020-01-26,391,82,309
2020-01-27,309,78,231
2020-01-28,273,78,195
2020-01-29,257,68,189
2020-01-30,222,61,161
2020-01-31,242,72,170
2020-02-01,219,59,160
2020-02-02,227,76,151
2020-02-03,205,66,139
2020-02-04,227,76,151
2020-02-05,224,70,154
2020-02-06,226,74,152
2020-02-07,240,74,166
2020-02-08,236,68,168
2020-02-09,246,64,182
2020-02-10,240,80,160
2020-02-11,232,68,164
2020-02-12,215,68,147
2020-02-13,214,63,151
2020-02-14,198,66,132
2020-02-15,188,63,125
2020-02-16,191,74,117
2020-02-17,192,64,128
2020-02-18,182,64,118
2020-02-19,187,68,119
2020-02-20,168,64,104
2020-02-21,189,61,128
2020-02-22,169,61,108
2020-02-23,177,64,113
2020-02-24,189,64,125
2020-02-25,192,70,122
2020-02-26,184,66,118
2020-02-27,194,68,126
2020-02-28,171,63,108
2020-02-29,95,,95
2020-03-01,178,57,121
2020-03-02,147,61,86
2020-03-03,183,74,109
2020-03-04,174,66,108
2020-03-05,172,63,109
2020-03-06,157,66,91
2020-03-07,153,64,89
2020-03-08,152,61,91
2020-03-09,170,74,96
2020-03-10,141,59,82
2020-03-11,133,59,74
2020-03-12,153,61,92
2020-03-13,130,57,73
2020-03-14,125,59,66
2020-03-15,145,61,84
2020-03-16,140,57,83
2020-03-17,139,61,78
2020-03-18,150,66,84
2020-03-19,143,64,79
2020-03-20,136,63,73
2020-03-21,146,63,83
2020-03-22,73,,73
2020-03-23,128,59,69
2020-03-24,136,57,79
2020-03-25,136,57,79
2020-03-26,142,59,83
2020-03-27,135,61,74
2020-03-28,127,57,70
2020-03-29,130,57,73
2020-03-30,141,61,80
2020-03-31,74,,74
2020-04-01,146,57,89
