日期,全部,pc,移动
2019-12-01,,,
2019-12-02,58,,58
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,60,,60
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,58,,58
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,79,,79
2020-01-22,263,70,193
2020-01-23,298,64,234
2020-01-24,227,64,163
2020-01-25,366,82,284
2020-01-26,296,82,214
2020-01-27,272,72,200
2020-01-28,261,72,189
2020-01-29,214,66,148
2020-01-30,225,68,157
2020-01-31,244,70,174
2020-02-01,229,72,157
2020-02-02,221,63,158
2020-02-03,242,80,162
2020-02-04,191,59,132
2020-02-05,221,64,157
2020-02-06,226,61,165
2020-02-07,222,57,165
2020-02-08,202,57,145
2020-02-09,241,87,154
2020-02-10,207,64,143
2020-02-11,196,61,135
2020-02-12,211,72,139
2020-02-13,215,57,158
2020-02-14,195,57,138
2020-02-15,163,57,106
2020-02-16,171,63,108
2020-02-17,160,64,96
2020-02-18,176,64,112
2020-02-19,173,61,112
2020-02-20,168,59,109
2020-02-21,178,59,119
2020-02-22,182,64,118
2020-02-23,187,59,128
2020-02-24,193,61,132
2020-02-25,185,68,117
2020-02-26,212,61,151
2020-02-27,182,61,121
2020-02-28,210,63,147
2020-02-29,206,61,145
2020-03-01,169,61,108
2020-03-02,182,63,119
2020-03-03,178,57,121
2020-03-04,167,57,110
2020-03-05,173,63,110
2020-03-06,155,66,89
2020-03-07,152,59,93
2020-03-08,158,61,97
2020-03-09,143,59,84
2020-03-10,153,66,87
2020-03-11,144,57,87
2020-03-12,140,61,79
2020-03-13,137,59,78
2020-03-14,139,61,78
2020-03-15,133,59,74
2020-03-16,148,59,89
2020-03-17,133,57,76
2020-03-18,137,59,78
2020-03-19,120,57,63
2020-03-20,138,59,79
2020-03-21,76,,76
2020-03-22,63,,63
2020-03-23,128,57,71
2020-03-24,127,57,70
2020-03-25,127,57,70
2020-03-26,60,,60
2020-03-27,65,,65
2020-03-28,65,,65
2020-03-29,126,57,69
2020-03-30,130,57,73
2020-03-31,126,59,67
2020-04-01,135,57,78
