日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,57,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,58,,58
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,57,
2019-12-24,57,57,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,143,59,84
2020-01-22,228,63,165
2020-01-23,277,66,211
2020-01-24,214,63,151
2020-01-25,326,64,262
2020-01-26,302,78,224
2020-01-27,296,74,222
2020-01-28,272,80,192
2020-01-29,239,68,171
2020-01-30,226,72,154
2020-01-31,216,68,148
2020-02-01,228,70,158
2020-02-02,232,72,160
2020-02-03,221,64,157
2020-02-04,237,78,159
2020-02-05,234,68,166
2020-02-06,224,70,154
2020-02-07,242,78,164
2020-02-08,229,74,155
2020-02-09,211,66,145
2020-02-10,223,68,155
2020-02-11,219,72,147
2020-02-12,192,64,128
2020-02-13,205,64,141
2020-02-14,226,61,165
2020-02-15,245,74,171
2020-02-16,198,70,128
2020-02-17,225,66,159
2020-02-18,213,66,147
2020-02-19,202,66,136
2020-02-20,180,63,117
2020-02-21,191,61,130
2020-02-22,180,57,123
2020-02-23,190,68,122
2020-02-24,182,61,121
2020-02-25,184,59,125
2020-02-26,108,,108
2020-02-27,181,59,122
2020-02-28,104,,104
2020-02-29,178,63,115
2020-03-01,146,57,89
2020-03-02,183,66,117
2020-03-03,93,,93
2020-03-04,151,59,92
2020-03-05,156,59,97
2020-03-06,84,,84
2020-03-07,150,59,91
2020-03-08,144,61,83
2020-03-09,152,61,91
2020-03-10,127,57,70
2020-03-11,79,,79
2020-03-12,92,,92
2020-03-13,139,57,82
2020-03-14,142,59,83
2020-03-15,89,,89
2020-03-16,151,64,87
2020-03-17,150,59,91
2020-03-18,71,,71
2020-03-19,135,57,78
2020-03-20,71,,71
2020-03-21,126,57,69
2020-03-22,61,,61
2020-03-23,65,,65
2020-03-24,66,,66
2020-03-25,127,61,66
2020-03-26,67,,67
2020-03-27,126,57,69
2020-03-28,71,,71
2020-03-29,126,57,69
2020-03-30,124,57,67
2020-03-31,69,,69
2020-04-01,69,,69
