日期,全部,pc,移动
2019-12-01,61,,61
2019-12-02,61,,61
2019-12-03,58,,58
2019-12-04,58,,58
2019-12-05,61,,61
2019-12-06,124,57,67
2019-12-07,60,,60
2019-12-08,65,,65
2019-12-09,,,
2019-12-10,114,57,57
2019-12-11,57,57,
2019-12-12,60,,60
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,60,,60
2019-12-16,57,,57
2019-12-17,65,,65
2019-12-18,60,,60
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,57,57,
2019-12-24,114,57,57
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,57,57,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,58,,58
2020-01-01,122,57,65
2020-01-02,58,,58
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,60,,60
2020-01-08,,,
2020-01-09,,,
2020-01-10,115,57,58
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,61,,61
2020-01-14,,,
2020-01-15,58,,58
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,,,
2020-01-20,66,,66
2020-01-21,257,64,193
2020-01-22,614,89,525
2020-01-23,849,91,758
2020-01-24,416,78,338
2020-01-25,708,87,621
2020-01-26,854,95,759
2020-01-27,615,101,514
2020-01-28,494,83,411
2020-01-29,450,83,367
2020-01-30,444,95,349
2020-01-31,476,102,374
2020-02-01,435,93,342
2020-02-02,378,82,296
2020-02-03,382,74,308
2020-02-04,388,87,301
2020-02-05,353,80,273
2020-02-06,393,93,300
2020-02-07,332,85,247
2020-02-08,378,76,302
2020-02-09,368,76,292
2020-02-10,354,83,271
2020-02-11,357,72,285
2020-02-12,356,72,284
2020-02-13,304,68,236
2020-02-14,301,74,227
2020-02-15,277,72,205
2020-02-16,259,64,195
2020-02-17,282,74,208
2020-02-18,260,68,192
2020-02-19,271,76,195
2020-02-20,274,66,208
2020-02-21,281,66,215
2020-02-22,267,64,203
2020-02-23,263,64,199
2020-02-24,275,78,197
2020-02-25,300,85,215
2020-02-26,272,63,209
2020-02-27,286,78,208
2020-02-28,304,68,236
2020-02-29,253,68,185
2020-03-01,252,72,180
2020-03-02,283,80,203
2020-03-03,244,63,181
2020-03-04,272,68,204
2020-03-05,256,66,190
2020-03-06,246,82,164
2020-03-07,241,59,182
2020-03-08,154,,154
2020-03-09,227,68,159
2020-03-10,226,68,158
2020-03-11,202,63,139
2020-03-12,182,64,118
2020-03-13,182,63,119
2020-03-14,207,63,144
2020-03-15,183,57,126
2020-03-16,191,59,132
2020-03-17,185,68,117
2020-03-18,189,68,121
2020-03-19,199,64,135
2020-03-20,112,,112
2020-03-21,91,,91
2020-03-22,178,57,121
2020-03-23,189,66,123
2020-03-24,155,59,96
2020-03-25,165,63,102
2020-03-26,157,57,100
2020-03-27,104,,104
2020-03-28,108,,108
2020-03-29,150,57,93
2020-03-30,168,63,105
2020-03-31,155,59,96
2020-04-01,169,72,97
