日期,全部,pc,移动
2019-12-01,78,,78
2019-12-02,146,63,83
2019-12-03,91,,91
2019-12-04,138,59,79
2019-12-05,128,57,71
2019-12-06,137,57,80
2019-12-07,141,61,80
2019-12-08,148,57,91
2019-12-09,147,61,86
2019-12-10,143,59,84
2019-12-11,137,59,78
2019-12-12,131,57,74
2019-12-13,70,,70
2019-12-14,140,57,83
2019-12-15,152,57,95
2019-12-16,76,,76
2019-12-17,83,,83
2019-12-18,140,61,79
2019-12-19,133,59,74
2019-12-20,150,57,93
2019-12-21,141,61,80
2019-12-22,79,,79
2019-12-23,155,63,92
2019-12-24,141,57,84
2019-12-25,128,57,71
2019-12-26,130,59,71
2019-12-27,138,59,79
2019-12-28,87,,87
2019-12-29,78,,78
2019-12-30,141,61,80
2019-12-31,146,64,82
2020-01-01,73,,73
2020-01-02,127,57,70
2020-01-03,73,,73
2020-01-04,76,,76
2020-01-05,128,57,71
2020-01-06,146,64,82
2020-01-07,67,,67
2020-01-08,67,,67
2020-01-09,132,61,71
2020-01-10,91,,91
2020-01-11,133,57,76
2020-01-12,79,,79
2020-01-13,76,,76
2020-01-14,127,57,70
2020-01-15,70,,70
2020-01-16,63,,63
2020-01-17,131,61,70
2020-01-18,70,,70
2020-01-19,159,66,93
2020-01-20,545,139,406
2020-01-21,3046,647,2399
2020-01-22,5052,678,4374
2020-01-23,5591,631,4960
2020-01-24,3340,335,3005
2020-01-25,3920,434,3486
2020-01-26,3007,375,2632
2020-01-27,2934,462,2472
2020-01-28,2933,487,2446
2020-01-29,2475,419,2056
2020-01-30,2448,476,1972
2020-01-31,2431,464,1967
2020-02-01,2065,395,1670
2020-02-02,2011,443,1568
2020-02-03,1912,434,1478
2020-02-04,1813,406,1407
2020-02-05,1943,426,1517
2020-02-06,2006,475,1531
2020-02-07,1800,478,1322
2020-02-08,1749,405,1344
2020-02-09,1574,385,1189
2020-02-10,1604,436,1168
2020-02-11,1378,347,1031
2020-02-12,1394,374,1020
2020-02-13,1332,327,1005
2020-02-14,1299,318,981
2020-02-15,1201,251,950
2020-02-16,1150,231,919
2020-02-17,1244,313,931
2020-02-18,1228,310,918
2020-02-19,1233,304,929
2020-02-20,1174,264,910
2020-02-21,1205,278,927
2020-02-22,1103,198,905
2020-02-23,1154,237,917
2020-02-24,1184,256,928
2020-02-25,1253,307,946
2020-02-26,1224,295,929
2020-02-27,1230,304,926
2020-02-28,1190,288,902
2020-02-29,1091,213,878
2020-03-01,1080,209,871
2020-03-02,1090,248,842
2020-03-03,1083,229,854
2020-03-04,1069,243,826
2020-03-05,924,212,712
2020-03-06,846,198,648
2020-03-07,844,186,658
2020-03-08,718,151,567
2020-03-09,837,240,597
2020-03-10,812,195,617
2020-03-11,755,173,582
2020-03-12,692,198,494
2020-03-13,690,169,521
2020-03-14,599,139,460
2020-03-15,608,154,454
2020-03-16,655,209,446
2020-03-17,666,151,515
2020-03-18,613,183,430
2020-03-19,539,142,397
2020-03-20,549,169,380
2020-03-21,467,97,370
2020-03-22,440,59,381
2020-03-23,521,169,352
2020-03-24,451,114,337
2020-03-25,495,165,330
2020-03-26,484,135,349
2020-03-27,447,140,307
2020-03-28,414,93,321
2020-03-29,505,125,380
2020-03-30,537,175,362
2020-03-31,515,155,360
2020-04-01,456,133,323
