日期,全部,pc,移动
2019-12-01,154,57,97
2019-12-02,166,61,105
2019-12-03,156,61,95
2019-12-04,150,61,89
2019-12-05,86,,86
2019-12-06,150,63,87
2019-12-07,182,57,125
2019-12-08,156,57,99
2019-12-09,152,59,93
2019-12-10,152,57,95
2019-12-11,155,59,96
2019-12-12,154,59,95
2019-12-13,136,57,79
2019-12-14,161,57,104
2019-12-15,169,59,110
2019-12-16,162,66,96
2019-12-17,155,59,96
2019-12-18,143,57,86
2019-12-19,92,,92
2019-12-20,143,59,84
2019-12-21,89,,89
2019-12-22,162,57,105
2019-12-23,174,68,106
2019-12-24,178,63,115
2019-12-25,172,59,113
2019-12-26,93,,93
2019-12-27,150,59,91
2019-12-28,127,57,70
2019-12-29,82,,82
2019-12-30,141,61,80
2019-12-31,162,63,99
2020-01-01,144,57,87
2020-01-02,95,,95
2020-01-03,141,59,82
2020-01-04,137,57,80
2020-01-05,86,,86
2020-01-06,142,59,83
2020-01-07,137,57,80
2020-01-08,143,61,82
2020-01-09,151,68,83
2020-01-10,136,57,79
2020-01-11,123,57,66
2020-01-12,156,57,99
2020-01-13,135,57,78
2020-01-14,130,57,73
2020-01-15,80,,80
2020-01-16,117,57,60
2020-01-17,129,59,70
2020-01-18,141,59,82
2020-01-19,131,57,74
2020-01-20,323,118,205
2020-01-21,1191,278,913
2020-01-22,2271,436,1835
2020-01-23,4572,566,4006
2020-01-24,2201,253,1948
2020-01-25,2938,291,2647
2020-01-26,2941,341,2600
2020-01-27,2290,338,1952
2020-01-28,2145,357,1788
2020-01-29,1940,313,1627
2020-01-30,1892,352,1540
2020-01-31,1970,394,1576
2020-02-01,1946,399,1547
2020-02-02,1794,395,1399
2020-02-03,1687,366,1321
2020-02-04,1658,352,1306
2020-02-05,1753,406,1347
2020-02-06,1770,394,1376
2020-02-07,1673,433,1240
2020-02-08,1456,352,1104
2020-02-09,1363,312,1051
2020-02-10,1318,313,1005
2020-02-11,1330,361,969
2020-02-12,1242,298,944
2020-02-13,1268,307,961
2020-02-14,1316,347,969
2020-02-15,1160,245,915
2020-02-16,1159,248,911
2020-02-17,1157,273,884
2020-02-18,1144,247,897
2020-02-19,1118,220,898
2020-02-20,1180,265,915
2020-02-21,1199,276,923
2020-02-22,1129,212,917
2020-02-23,1098,191,907
2020-02-24,1144,240,904
2020-02-25,1165,247,918
2020-02-26,1218,256,962
2020-02-27,1182,260,922
2020-02-28,1216,287,929
2020-02-29,1167,237,930
2020-03-01,1108,191,917
2020-03-02,1236,319,917
2020-03-03,1107,233,874
2020-03-04,1126,251,875
2020-03-05,1113,247,866
2020-03-06,1116,254,862
2020-03-07,970,163,807
2020-03-08,901,184,717
2020-03-09,1001,240,761
2020-03-10,1043,234,809
2020-03-11,890,191,699
2020-03-12,842,200,642
2020-03-13,829,187,642
2020-03-14,688,142,546
2020-03-15,677,125,552
2020-03-16,769,194,575
2020-03-17,805,237,568
2020-03-18,862,298,564
2020-03-19,730,201,529
2020-03-20,687,201,486
2020-03-21,584,108,476
2020-03-22,560,68,492
2020-03-23,632,172,460
2020-03-24,598,151,447
2020-03-25,609,169,440
2020-03-26,594,154,440
2020-03-27,613,161,452
2020-03-28,523,110,413
2020-03-29,603,135,468
2020-03-30,689,163,526
2020-03-31,574,123,451
2020-04-01,545,154,391
