日期,全部,pc,移动
2019-12-01,65,,65
2019-12-02,117,57,60
2019-12-03,60,,60
2019-12-04,57,,57
2019-12-05,58,,58
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,69,,69
2019-12-09,60,,60
2019-12-10,60,,60
2019-12-11,,,
2019-12-12,65,,65
2019-12-13,,,
2019-12-14,61,,61
2019-12-15,65,,65
2019-12-16,58,,58
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,58,,58
2019-12-20,60,,60
2019-12-21,61,,61
2019-12-22,,,
2019-12-23,65,,65
2019-12-24,57,,57
2019-12-25,60,,60
2019-12-26,57,,57
2019-12-27,114,57,57
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,118,57,61
2020-01-01,60,,60
2020-01-02,61,,61
2020-01-03,57,,57
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,,,
2020-01-07,61,,61
2020-01-08,,,
2020-01-09,60,,60
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,60,,60
2020-01-19,58,,58
2020-01-20,118,57,61
2020-01-21,221,66,155
2020-01-22,439,91,348
2020-01-23,966,123,843
2020-01-24,554,93,461
2020-01-25,833,95,738
2020-01-26,733,101,632
2020-01-27,568,85,483
2020-01-28,537,97,440
2020-01-29,508,82,426
2020-01-30,531,95,436
2020-01-31,523,93,430
2020-02-01,482,101,381
2020-02-02,436,80,356
2020-02-03,427,89,338
2020-02-04,441,97,344
2020-02-05,505,112,393
2020-02-06,428,80,348
2020-02-07,417,116,301
2020-02-08,389,93,296
2020-02-09,374,87,287
2020-02-10,404,104,300
2020-02-11,332,93,239
2020-02-12,302,87,215
2020-02-13,336,97,239
2020-02-14,341,89,252
2020-02-15,319,80,239
2020-02-16,297,85,212
2020-02-17,277,68,209
2020-02-18,294,83,211
2020-02-19,270,72,198
2020-02-20,297,82,215
2020-02-21,284,80,204
2020-02-22,305,66,239
2020-02-23,308,66,242
2020-02-24,316,82,234
2020-02-25,308,87,221
2020-02-26,340,76,264
2020-02-27,291,74,217
2020-02-28,287,70,217
2020-02-29,307,68,239
2020-03-01,278,78,200
2020-03-02,284,85,199
2020-03-03,281,89,192
2020-03-04,232,61,171
2020-03-05,244,70,174
2020-03-06,269,76,193
2020-03-07,223,66,157
2020-03-08,216,61,155
2020-03-09,222,64,158
2020-03-10,240,70,170
2020-03-11,206,63,143
2020-03-12,193,68,125
2020-03-13,212,68,144
2020-03-14,191,63,128
2020-03-15,132,,132
2020-03-16,218,63,155
2020-03-17,203,64,139
2020-03-18,200,72,128
2020-03-19,196,68,128
2020-03-20,179,66,113
2020-03-21,175,57,118
2020-03-22,180,57,123
2020-03-23,175,57,118
2020-03-24,186,64,122
2020-03-25,172,63,109
2020-03-26,184,63,121
2020-03-27,166,61,105
2020-03-28,150,61,89
2020-03-29,179,66,113
2020-03-30,180,59,121
2020-03-31,173,63,110
2020-04-01,155,63,92
