日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,57,
2019-12-10,57,,57
2019-12-11,60,,60
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,57,57,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,114,57,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,114,57,57
2020-01-20,128,57,71
2020-01-21,194,59,135
2020-01-22,340,70,270
2020-01-23,651,106,545
2020-01-24,406,76,330
2020-01-25,531,80,451
2020-01-26,567,74,493
2020-01-27,425,76,349
2020-01-28,399,82,317
2020-01-29,392,91,301
2020-01-30,367,78,289
2020-01-31,387,91,296
2020-02-01,393,85,308
2020-02-02,379,112,267
2020-02-03,312,85,227
2020-02-04,322,72,250
2020-02-05,319,76,243
2020-02-06,347,76,271
2020-02-07,304,85,219
2020-02-08,295,87,208
2020-02-09,300,76,224
2020-02-10,309,78,231
2020-02-11,295,93,202
2020-02-12,265,78,187
2020-02-13,237,70,167
2020-02-14,268,82,186
2020-02-15,225,70,155
2020-02-16,238,64,174
2020-02-17,234,85,149
2020-02-18,243,70,173
2020-02-19,251,78,173
2020-02-20,243,76,167
2020-02-21,224,66,158
2020-02-22,222,68,154
2020-02-23,159,,159
2020-02-24,255,74,181
2020-02-25,262,63,199
2020-02-26,277,74,203
2020-02-27,256,78,178
2020-02-28,273,80,193
2020-02-29,243,72,171
2020-03-01,236,70,166
2020-03-02,242,74,168
2020-03-03,234,64,170
2020-03-04,218,66,152
2020-03-05,182,70,112
2020-03-06,216,68,148
2020-03-07,202,61,141
2020-03-08,194,72,122
2020-03-09,190,68,122
2020-03-10,185,70,115
2020-03-11,192,57,135
2020-03-12,174,74,100
2020-03-13,168,63,105
2020-03-14,143,57,86
2020-03-15,132,61,71
2020-03-16,158,61,97
2020-03-17,148,70,78
2020-03-18,99,,99
2020-03-19,150,64,86
2020-03-20,157,64,93
2020-03-21,143,59,84
2020-03-22,96,,96
2020-03-23,152,70,82
2020-03-24,124,57,67
2020-03-25,87,,87
2020-03-26,146,63,83
2020-03-27,158,63,95
2020-03-28,148,57,91
2020-03-29,150,57,93
2020-03-30,155,59,96
2020-03-31,95,,95
2020-04-01,141,57,84
