日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,57,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,58,,58
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,60,,60
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,114,57,57
2020-01-21,166,57,109
2020-01-22,257,72,185
2020-01-23,408,82,326
2020-01-24,244,63,181
2020-01-25,368,68,300
2020-01-26,403,82,321
2020-01-27,365,87,278
2020-01-28,324,74,250
2020-01-29,299,70,229
2020-01-30,287,85,202
2020-01-31,302,80,222
2020-02-01,290,87,203
2020-02-02,281,82,199
2020-02-03,257,89,168
2020-02-04,269,93,176
2020-02-05,270,91,179
2020-02-06,280,99,181
2020-02-07,276,93,183
2020-02-08,242,85,157
2020-02-09,247,82,165
2020-02-10,229,85,144
2020-02-11,263,108,155
2020-02-12,218,80,138
2020-02-13,193,68,125
2020-02-14,187,66,121
2020-02-15,177,64,113
2020-02-16,202,80,122
2020-02-17,228,80,148
2020-02-18,195,64,131
2020-02-19,179,64,115
2020-02-20,224,76,148
2020-02-21,210,89,121
2020-02-22,187,57,130
2020-02-23,196,64,132
2020-02-24,187,74,113
2020-02-25,182,59,123
2020-02-26,213,70,143
2020-02-27,225,87,138
2020-02-28,206,74,132
2020-02-29,204,59,145
2020-03-01,205,64,141
2020-03-02,200,72,128
2020-03-03,193,72,121
2020-03-04,171,74,97
2020-03-05,160,61,99
2020-03-06,165,72,93
2020-03-07,96,,96
2020-03-08,160,63,97
2020-03-09,160,61,99
2020-03-10,173,80,93
2020-03-11,163,70,93
2020-03-12,135,61,74
2020-03-13,133,59,74
2020-03-14,128,57,71
2020-03-15,135,59,76
2020-03-16,128,57,71
2020-03-17,134,61,73
2020-03-18,158,78,80
2020-03-19,140,66,74
2020-03-20,154,78,76
2020-03-21,137,57,80
2020-03-22,71,,71
2020-03-23,131,66,65
2020-03-24,128,57,71
2020-03-25,139,63,76
2020-03-26,126,57,69
2020-03-27,73,,73
2020-03-28,130,57,73
2020-03-29,128,57,71
2020-03-30,79,,79
2020-03-31,137,61,76
2020-04-01,63,,63
