日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,58,,58
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,,,
2019-12-11,61,,61
2019-12-12,,,
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,61,,61
2019-12-16,57,57,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,58,,58
2019-12-23,57,,57
2019-12-24,57,,57
2019-12-25,60,,60
2019-12-26,58,,58
2019-12-27,58,,58
2019-12-28,57,57,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,58,,58
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,168,66,102
2020-01-22,253,72,181
2020-01-23,425,74,351
2020-01-24,318,66,252
2020-01-25,417,68,349
2020-01-26,348,78,270
2020-01-27,295,63,232
2020-01-28,293,78,215
2020-01-29,256,70,186
2020-01-30,255,66,189
2020-01-31,259,82,177
2020-02-01,254,72,182
2020-02-02,266,80,186
2020-02-03,238,68,170
2020-02-04,239,66,173
2020-02-05,266,68,198
2020-02-06,263,78,185
2020-02-07,248,74,174
2020-02-08,227,72,155
2020-02-09,223,61,162
2020-02-10,236,66,170
2020-02-11,227,68,159
2020-02-12,202,64,138
2020-02-13,223,66,157
2020-02-14,210,72,138
2020-02-15,194,64,130
2020-02-16,207,66,141
2020-02-17,211,70,141
2020-02-18,177,59,118
2020-02-19,181,59,122
2020-02-20,180,57,123
2020-02-21,210,59,151
2020-02-22,224,66,158
2020-02-23,192,57,135
2020-02-24,198,59,139
2020-02-25,207,64,143
2020-02-26,229,66,163
2020-02-27,215,64,151
2020-02-28,202,68,134
2020-02-29,225,70,155
2020-03-01,190,59,131
2020-03-02,224,72,152
2020-03-03,189,59,130
2020-03-04,201,70,131
2020-03-05,207,66,141
2020-03-06,191,66,125
2020-03-07,169,63,106
2020-03-08,155,66,89
2020-03-09,161,64,97
2020-03-10,152,57,95
2020-03-11,113,,113
2020-03-12,156,63,93
2020-03-13,163,61,102
2020-03-14,148,59,89
2020-03-15,76,,76
2020-03-16,148,64,84
2020-03-17,143,59,84
2020-03-18,147,64,83
2020-03-19,135,59,76
2020-03-20,87,,87
2020-03-21,78,,78
2020-03-22,76,,76
2020-03-23,139,57,82
2020-03-24,141,57,84
2020-03-25,139,59,80
2020-03-26,71,,71
2020-03-27,83,,83
2020-03-28,138,59,79
2020-03-29,136,57,79
2020-03-30,131,57,74
2020-03-31,141,59,82
2020-04-01,128,57,71
