日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,57,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,57,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,114,57,57
2020-01-22,137,57,80
2020-01-23,190,59,131
2020-01-24,177,64,113
2020-01-25,163,61,102
2020-01-26,170,57,113
2020-01-27,137,57,80
2020-01-28,148,59,89
2020-01-29,87,,87
2020-01-30,141,61,80
2020-01-31,145,61,84
2020-02-01,144,61,83
2020-02-02,138,64,74
2020-02-03,148,59,89
2020-02-04,147,61,86
2020-02-05,135,61,74
2020-02-06,135,57,78
2020-02-07,135,59,76
2020-02-08,70,,70
2020-02-09,128,59,69
2020-02-10,122,59,63
2020-02-11,133,59,74
2020-02-12,70,,70
2020-02-13,128,59,69
2020-02-14,133,59,74
2020-02-15,67,,67
2020-02-16,122,59,63
2020-02-17,119,59,60
2020-02-18,60,,60
2020-02-19,117,57,60
2020-02-20,63,,63
2020-02-21,63,,63
2020-02-22,67,,67
2020-02-23,124,57,67
2020-02-24,123,57,66
2020-02-25,117,59,58
2020-02-26,123,57,66
2020-02-27,137,59,78
2020-02-28,135,57,78
2020-02-29,125,59,66
2020-03-01,66,,66
2020-03-02,122,57,65
2020-03-03,60,,60
2020-03-04,124,57,67
2020-03-05,60,,60
2020-03-06,124,63,61
2020-03-07,67,,67
2020-03-08,58,,58
2020-03-09,57,,57
2020-03-10,60,,60
2020-03-11,,,
2020-03-12,119,61,58
2020-03-13,57,,57
2020-03-14,60,,60
2020-03-15,57,,57
2020-03-16,60,,60
2020-03-17,60,,60
2020-03-18,58,,58
2020-03-19,58,,58
2020-03-20,58,,58
2020-03-21,65,,65
2020-03-22,,,
2020-03-23,,,
2020-03-24,57,,57
2020-03-25,57,,57
2020-03-26,58,,58
2020-03-27,,,
2020-03-28,58,,58
2020-03-29,57,,57
2020-03-30,117,59,58
2020-03-31,58,,58
2020-04-01,,,
