日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,57,,57
2019-12-03,61,,61
2019-12-04,61,,61
2019-12-05,60,,60
2019-12-06,115,57,58
2019-12-07,58,,58
2019-12-08,65,,65
2019-12-09,63,,63
2019-12-10,60,,60
2019-12-11,120,57,63
2019-12-12,63,,63
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,60,,60
2019-12-20,58,,58
2019-12-21,58,,58
2019-12-22,57,57,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,58,,58
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,60,,60
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,126,61,65
2020-01-21,200,59,141
2020-01-22,386,63,323
2020-01-23,630,70,560
2020-01-24,459,64,395
2020-01-25,660,72,588
2020-01-26,703,68,635
2020-01-27,535,64,471
2020-01-28,475,91,384
2020-01-29,396,70,326
2020-01-30,363,78,285
2020-01-31,337,78,259
2020-02-01,394,89,305
2020-02-02,337,80,257
2020-02-03,359,82,277
2020-02-04,372,87,285
2020-02-05,338,93,245
2020-02-06,336,89,247
2020-02-07,352,85,267
2020-02-08,320,72,248
2020-02-09,270,70,200
2020-02-10,276,76,200
2020-02-11,270,70,200
2020-02-12,250,66,184
2020-02-13,257,70,187
2020-02-14,270,80,190
2020-02-15,242,76,166
2020-02-16,225,59,166
2020-02-17,226,64,162
2020-02-18,251,66,185
2020-02-19,254,76,178
2020-02-20,260,61,199
2020-02-21,249,64,185
2020-02-22,237,63,174
2020-02-23,236,63,173
2020-02-24,268,72,196
2020-02-25,261,76,185
2020-02-26,342,80,262
2020-02-27,280,68,212
2020-02-28,284,72,212
2020-02-29,281,59,222
2020-03-01,245,68,177
2020-03-02,243,72,171
2020-03-03,244,74,170
2020-03-04,252,74,178
2020-03-05,281,64,217
2020-03-06,220,61,159
2020-03-07,221,64,157
2020-03-08,209,61,148
2020-03-09,222,74,148
2020-03-10,247,70,177
2020-03-11,215,68,147
2020-03-12,228,66,162
2020-03-13,225,66,159
2020-03-14,202,59,143
2020-03-15,167,61,106
2020-03-16,202,72,130
2020-03-17,195,57,138
2020-03-18,173,61,112
2020-03-19,186,64,122
2020-03-20,162,63,99
2020-03-21,157,57,100
2020-03-22,159,57,102
2020-03-23,172,63,109
2020-03-24,176,70,106
2020-03-25,163,68,95
2020-03-26,167,61,106
2020-03-27,92,,92
2020-03-28,175,57,118
2020-03-29,166,61,105
2020-03-30,170,61,109
2020-03-31,148,59,89
2020-04-01,180,57,123
