日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,60,,60
2019-12-04,60,,60
2019-12-05,60,,60
2019-12-06,58,,58
2019-12-07,58,,58
2019-12-08,63,,63
2019-12-09,63,,63
2019-12-10,57,,57
2019-12-11,60,,60
2019-12-12,61,,61
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,60,,60
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,126,61,65
2020-01-21,191,59,132
2020-01-22,343,63,280
2020-01-23,535,66,469
2020-01-24,402,64,338
2020-01-25,561,70,491
2020-01-26,586,64,522
2020-01-27,440,64,376
2020-01-28,409,82,327
2020-01-29,322,66,256
2020-01-30,309,70,239
2020-01-31,293,76,217
2020-02-01,335,87,248
2020-02-02,286,74,212
2020-02-03,309,78,231
2020-02-04,316,82,234
2020-02-05,288,85,203
2020-02-06,278,83,195
2020-02-07,302,78,224
2020-02-08,283,72,211
2020-02-09,231,61,170
2020-02-10,247,74,173
2020-02-11,237,66,171
2020-02-12,211,63,148
2020-02-13,229,64,165
2020-02-14,226,72,154
2020-02-15,200,70,130
2020-02-16,128,,128
2020-02-17,191,63,128
2020-02-18,219,64,155
2020-02-19,202,64,138
2020-02-20,214,57,157
2020-02-21,207,64,143
2020-02-22,210,61,149
2020-02-23,193,59,134
2020-02-24,235,70,165
2020-02-25,221,70,151
2020-02-26,281,76,205
2020-02-27,237,64,173
2020-02-28,241,70,171
2020-02-29,238,59,179
2020-03-01,213,61,152
2020-03-02,217,66,151
2020-03-03,213,70,143
2020-03-04,216,72,144
2020-03-05,241,64,177
2020-03-06,195,61,134
2020-03-07,201,63,138
2020-03-08,192,61,131
2020-03-09,181,66,115
2020-03-10,221,70,151
2020-03-11,184,66,118
2020-03-12,202,63,139
2020-03-13,195,63,132
2020-03-14,169,59,110
2020-03-15,156,61,95
2020-03-16,168,64,104
2020-03-17,170,57,113
2020-03-18,146,57,89
2020-03-19,163,64,99
2020-03-20,150,63,87
2020-03-21,148,57,91
2020-03-22,84,,84
2020-03-23,154,61,93
2020-03-24,152,66,86
2020-03-25,147,63,84
2020-03-26,150,61,89
2020-03-27,91,,91
2020-03-28,162,57,105
2020-03-29,159,59,100
2020-03-30,148,57,91
2020-03-31,141,59,82
2020-04-01,159,57,102
