日期,全部,pc,移动
2019-12-01,139,57,82
2019-12-02,80,,80
2019-12-03,73,,73
2019-12-04,147,61,86
2019-12-05,156,61,95
2019-12-06,141,63,78
2019-12-07,86,,86
2019-12-08,80,,80
2019-12-09,92,,92
2019-12-10,133,57,76
2019-12-11,141,59,82
2019-12-12,137,59,78
2019-12-13,67,,67
2019-12-14,71,,71
2019-12-15,69,,69
2019-12-16,74,,74
2019-12-17,135,59,76
2019-12-18,73,,73
2019-12-19,140,57,83
2019-12-20,71,,71
2019-12-21,70,,70
2019-12-22,87,,87
2019-12-23,79,,79
2019-12-24,136,57,79
2019-12-25,137,63,74
2019-12-26,78,,78
2019-12-27,78,,78
2019-12-28,141,57,84
2019-12-29,73,,73
2019-12-30,133,59,74
2019-12-31,130,57,73
2020-01-01,69,,69
2020-01-02,135,59,76
2020-01-03,69,,69
2020-01-04,79,,79
2020-01-05,73,,73
2020-01-06,133,57,76
2020-01-07,67,,67
2020-01-08,124,57,67
2020-01-09,70,,70
2020-01-10,69,,69
2020-01-11,70,,70
2020-01-12,133,57,76
2020-01-13,124,57,67
2020-01-14,66,,66
2020-01-15,128,57,71
2020-01-16,117,57,60
2020-01-17,63,,63
2020-01-18,66,,66
2020-01-19,67,,67
2020-01-20,231,76,155
2020-01-21,995,163,832
2020-01-22,2178,329,1849
2020-01-23,3525,372,3153
2020-01-24,1650,234,1416
2020-01-25,2836,309,2527
2020-01-26,2799,330,2469
2020-01-27,2274,312,1962
2020-01-28,1940,332,1608
2020-01-29,1698,301,1397
2020-01-30,1571,254,1317
2020-01-31,1704,271,1433
2020-02-01,1556,293,1263
2020-02-02,1474,268,1206
2020-02-03,1404,301,1103
2020-02-04,1282,301,981
2020-02-05,1189,239,950
2020-02-06,1277,304,973
2020-02-07,1249,287,962
2020-02-08,1192,240,952
2020-02-09,1188,242,946
2020-02-10,1160,233,927
2020-02-11,1124,215,909
2020-02-12,1081,179,902
2020-02-13,1093,198,895
2020-02-14,1118,215,903
2020-02-15,1060,183,877
2020-02-16,1032,184,848
2020-02-17,1045,187,858
2020-02-18,1002,184,818
2020-02-19,969,165,804
2020-02-20,1010,162,848
2020-02-21,990,179,811
2020-02-22,909,144,765
2020-02-23,845,135,710
2020-02-24,882,152,730
2020-02-25,929,166,763
2020-02-26,973,165,808
2020-02-27,965,157,808
2020-02-28,1013,169,844
2020-02-29,959,154,805
2020-03-01,894,154,740
2020-03-02,903,168,735
2020-03-03,880,137,743
2020-03-04,869,157,712
2020-03-05,855,165,690
2020-03-06,769,137,632
2020-03-07,770,121,649
2020-03-08,655,137,518
2020-03-09,806,150,656
2020-03-10,923,158,765
2020-03-11,832,140,692
2020-03-12,792,148,644
2020-03-13,824,155,669
2020-03-14,717,114,603
2020-03-15,715,127,588
2020-03-16,732,168,564
2020-03-17,720,146,574
2020-03-18,701,148,553
2020-03-19,615,121,494
2020-03-20,575,120,455
2020-03-21,485,99,386
2020-03-22,481,66,415
2020-03-23,557,118,439
2020-03-24,447,91,356
2020-03-25,422,112,310
2020-03-26,425,101,324
2020-03-27,429,106,323
2020-03-28,406,61,345
2020-03-29,479,121,358
2020-03-30,474,116,358
2020-03-31,443,102,341
2020-04-01,463,108,355
